time_s,collisions_total,collisions_robot,collisions_obstacle
0.000,0,0,0
32.392,1,1,0
32.392,2,2,0
33.393,3,3,0
33.393,4,4,0
33.421,5,5,0
33.421,6,6,0
34.446,7,7,0
34.447,8,8,0
35.945,9,9,0
35.945,10,10,0
37.493,11,11,0
37.493,12,12,0
40.082,13,13,0
40.082,14,14,0
44.441,15,15,0
44.442,16,16,0
85.391,17,16,1
90.607,18,16,2
91.940,19,16,3
93.000,20,16,4
97.878,21,16,5
100.598,22,16,6
211.530,23,16,7
219.418,24,16,8
230.553,25,16,9
232.932,26,16,10
233.557,27,16,11
249.084,28,17,11
249.084,29,18,11
249.941,30,19,11
249.941,31,20,11
252.406,32,21,11
252.407,33,22,11
256.097,34,23,11
256.098,35,24,11
259.920,36,25,11
259.920,37,26,11
260.618,38,27,11
260.619,39,28,11
263.384,40,29,11
263.385,41,30,11
264.431,42,31,11
264.432,43,32,11
266.001,44,33,11
266.001,45,34,11
269.883,46,35,11
269.883,47,36,11
324.464,48,36,12
336.581,49,36,13
338.021,50,36,14
339.079,51,37,14
339.081,52,38,14
341.919,53,38,15
380.983,54,38,16
382.469,55,38,17
386.478,56,38,18
395.016,57,38,19
395.966,58,38,20
400.998,59,38,21
429.601,60,38,22
435.507,61,38,23
438.480,62,38,24
439.466,63,38,25
451.977,64,39,25
451.977,65,40,25
456.043,66,41,25
456.049,67,42,25
458.447,68,43,25
458.447,69,44,25
460.004,70,45,25
460.004,71,46,25
