category,prompt,run,scenario,trial,run_folder,coverage_pct,collisions_total,coverage_csv,paths_csv,bump_csv
long,prompt_1,run_1,spread,trial_1,run_20260420_143733,5.0,0,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_1/spread/trial_1/run_20260420_143733/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_1/spread/trial_1/run_20260420_143733/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_1/spread/trial_1/run_20260420_143733/bumps_global_143733.csv
long,prompt_1,run_1,spread,trial_2,run_20260420_144057,5.0,0,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_1/spread/trial_2/run_20260420_144057/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_1/spread/trial_2/run_20260420_144057/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_1/spread/trial_2/run_20260420_144057/bumps_global_144057.csv
long,prompt_1,run_1,spread,trial_3,run_20260420_144420,5.0,0,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_1/spread/trial_3/run_20260420_144420/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_1/spread/trial_3/run_20260420_144420/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_1/spread/trial_3/run_20260420_144420/bumps_global_144421.csv
long,prompt_1,run_10,spread,trial_1,run_20260420_145755,57.0,5,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_10/spread/trial_1/run_20260420_145755/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_10/spread/trial_1/run_20260420_145755/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_10/spread/trial_1/run_20260420_145755/bumps_global_145756.csv
long,prompt_1,run_10,spread,trial_2,run_20260420_150119,53.0,3,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_10/spread/trial_2/run_20260420_150119/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_10/spread/trial_2/run_20260420_150119/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_10/spread/trial_2/run_20260420_150119/bumps_global_150120.csv
long,prompt_1,run_10,spread,trial_3,run_20260420_150443,50.0,14,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_10/spread/trial_3/run_20260420_150443/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_10/spread/trial_3/run_20260420_150443/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_10/spread/trial_3/run_20260420_150443/bumps_global_150444.csv
long,prompt_1,run_2,spread,trial_1,run_20260417_163825,44.0,65,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_2/spread/trial_1/run_20260417_163825/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_2/spread/trial_1/run_20260417_163825/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_2/spread/trial_1/run_20260417_163825/bumps_global_163826.csv
long,prompt_1,run_2,spread,trial_2,run_20260417_164151,51.0,38,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_2/spread/trial_2/run_20260417_164151/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_2/spread/trial_2/run_20260417_164151/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_2/spread/trial_2/run_20260417_164151/bumps_global_164151.csv
long,prompt_1,run_2,spread,trial_3,run_20260417_164517,57.0,32,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_2/spread/trial_3/run_20260417_164517/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_2/spread/trial_3/run_20260417_164517/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_2/spread/trial_3/run_20260417_164517/bumps_global_164517.csv
long,prompt_1,run_3,spread,trial_1,run_20260417_165534,55.0,37,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_3/spread/trial_1/run_20260417_165534/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_3/spread/trial_1/run_20260417_165534/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_3/spread/trial_1/run_20260417_165534/bumps_global_165534.csv
long,prompt_1,run_3,spread,trial_2,run_20260417_165859,51.0,61,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_3/spread/trial_2/run_20260417_165859/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_3/spread/trial_2/run_20260417_165859/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_3/spread/trial_2/run_20260417_165859/bumps_global_165900.csv
long,prompt_1,run_3,spread,trial_3,run_20260417_170225,53.0,53,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_3/spread/trial_3/run_20260417_170225/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_3/spread/trial_3/run_20260417_170225/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_3/spread/trial_3/run_20260417_170225/bumps_global_170226.csv
long,prompt_1,run_4,spread,trial_1,run_20260420_151819,56.0,1,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_4/spread/trial_1/run_20260420_151819/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_4/spread/trial_1/run_20260420_151819/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_4/spread/trial_1/run_20260420_151819/bumps_global_151820.csv
long,prompt_1,run_4,spread,trial_2,run_20260420_152143,59.0,4,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_4/spread/trial_2/run_20260420_152143/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_4/spread/trial_2/run_20260420_152143/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_4/spread/trial_2/run_20260420_152143/bumps_global_152144.csv
long,prompt_1,run_4,spread,trial_3,run_20260420_152507,50.0,6,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_4/spread/trial_3/run_20260420_152507/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_4/spread/trial_3/run_20260420_152507/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_4/spread/trial_3/run_20260420_152507/bumps_global_152508.csv
long,prompt_1,run_5,spread,trial_1,run_20260420_154712,58.0,34,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_5/spread/trial_1/run_20260420_154712/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_5/spread/trial_1/run_20260420_154712/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_5/spread/trial_1/run_20260420_154712/bumps_global_154713.csv
long,prompt_1,run_5,spread,trial_2,run_20260420_155036,60.0,43,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_5/spread/trial_2/run_20260420_155036/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_5/spread/trial_2/run_20260420_155036/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_5/spread/trial_2/run_20260420_155036/bumps_global_155036.csv
long,prompt_1,run_5,spread,trial_3,run_20260420_155359,60.0,39,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_5/spread/trial_3/run_20260420_155359/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_5/spread/trial_3/run_20260420_155359/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_5/spread/trial_3/run_20260420_155359/bumps_global_155400.csv
long,prompt_1,run_6,spread,trial_1,run_20260420_170625,40.0,40,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_6/spread/trial_1/run_20260420_170625/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_6/spread/trial_1/run_20260420_170625/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_6/spread/trial_1/run_20260420_170625/bumps_global_170626.csv
long,prompt_1,run_6,spread,trial_2,run_20260420_170949,52.0,47,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_6/spread/trial_2/run_20260420_170949/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_6/spread/trial_2/run_20260420_170949/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_6/spread/trial_2/run_20260420_170949/bumps_global_170950.csv
long,prompt_1,run_6,spread,trial_3,run_20260420_171313,57.0,58,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_6/spread/trial_3/run_20260420_171313/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_6/spread/trial_3/run_20260420_171313/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_6/spread/trial_3/run_20260420_171313/bumps_global_171313.csv
long,prompt_1,run_7,spread,trial_1,run_20260420_172647,5.0,0,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_7/spread/trial_1/run_20260420_172647/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_7/spread/trial_1/run_20260420_172647/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_7/spread/trial_1/run_20260420_172647/bumps_global_172648.csv
long,prompt_1,run_7,spread,trial_2,run_20260420_173011,5.0,0,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_7/spread/trial_2/run_20260420_173011/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_7/spread/trial_2/run_20260420_173011/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_7/spread/trial_2/run_20260420_173011/bumps_global_173011.csv
long,prompt_1,run_7,spread,trial_3,run_20260420_173335,5.0,0,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_7/spread/trial_3/run_20260420_173335/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_7/spread/trial_3/run_20260420_173335/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_7/spread/trial_3/run_20260420_173335/bumps_global_173336.csv
long,prompt_1,run_8,spread,trial_1,run_20260420_174710,44.0,40,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_8/spread/trial_1/run_20260420_174710/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_8/spread/trial_1/run_20260420_174710/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_8/spread/trial_1/run_20260420_174710/bumps_global_174711.csv
long,prompt_1,run_8,spread,trial_2,run_20260420_175034,57.0,36,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_8/spread/trial_2/run_20260420_175034/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_8/spread/trial_2/run_20260420_175034/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_8/spread/trial_2/run_20260420_175034/bumps_global_175034.csv
long,prompt_1,run_8,spread,trial_3,run_20260420_175357,57.0,26,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_8/spread/trial_3/run_20260420_175357/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_8/spread/trial_3/run_20260420_175357/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_8/spread/trial_3/run_20260420_175357/bumps_global_175358.csv
long,prompt_1,run_9,spread,trial_1,run_20260420_180732,53.0,57,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_9/spread/trial_1/run_20260420_180732/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_9/spread/trial_1/run_20260420_180732/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_9/spread/trial_1/run_20260420_180732/bumps_global_180732.csv
long,prompt_1,run_9,spread,trial_2,run_20260420_181055,52.0,71,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_9/spread/trial_2/run_20260420_181055/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_9/spread/trial_2/run_20260420_181055/coverage_paths.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_1/run_9/spread/trial_2/run_20260420_181055/bumps_global_181056.csv
