category,prompt,run,scenario,trial,run_folder,coverage_pct,collisions_total,coverage_csv,bump_csv
long,prompt_2,run_2,middle_circle,trial_2,run_20260417_174329,49.0,39,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_2/run_2/middle_circle/trial_2/run_20260417_174329/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_2/run_2/middle_circle/trial_2/run_20260417_174329/bumps_global_174330.csv
long,prompt_2,run_2,middle_circle,trial_3,run_20260417_174655,52.0,57,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_2/run_2/middle_circle/trial_3/run_20260417_174655/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_2/run_2/middle_circle/trial_3/run_20260417_174655/bumps_global_174656.csv
long,prompt_3,run_1,middle_circle,trial_1,run_20260417_180039,11.0,5,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_1/middle_circle/trial_1/run_20260417_180039/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_1/middle_circle/trial_1/run_20260417_180039/bumps_global_180040.csv
long,prompt_3,run_1,middle_circle,trial_2,run_20260417_180405,5.0,0,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_1/middle_circle/trial_2/run_20260417_180405/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_1/middle_circle/trial_2/run_20260417_180405/bumps_global_180406.csv
long,prompt_3,run_1,middle_circle,trial_3,run_20260417_183108,11.0,2,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_1/middle_circle/trial_3/run_20260417_183108/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_1/middle_circle/trial_3/run_20260417_183108/bumps_global_183108.csv
long,prompt_3,run_2,middle_circle,trial_1,run_20260417_184447,59.0,32,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_2/middle_circle/trial_1/run_20260417_184447/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_2/middle_circle/trial_1/run_20260417_184447/bumps_global_184447.csv
long,prompt_3,run_2,middle_circle,trial_2,run_20260417_184811,58.0,27,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_2/middle_circle/trial_2/run_20260417_184811/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_2/middle_circle/trial_2/run_20260417_184811/bumps_global_184812.csv
long,prompt_3,run_2,middle_circle,trial_3,run_20260417_185136,55.0,26,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_2/middle_circle/trial_3/run_20260417_185136/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_2/middle_circle/trial_3/run_20260417_185136/bumps_global_185137.csv
long,prompt_3,run_3,middle_circle,trial_1,run_20260417_190515,49.0,16,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_3/middle_circle/trial_1/run_20260417_190515/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_3/middle_circle/trial_1/run_20260417_190515/bumps_global_190516.csv
long,prompt_3,run_3,middle_circle,trial_2,run_20260417_190840,48.0,39,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_3/middle_circle/trial_2/run_20260417_190840/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_3/middle_circle/trial_2/run_20260417_190840/bumps_global_190840.csv
