stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic,entity_a_bump_direction,entity_b_bump_direction,pair_detection_summary
6,670000000,global,1,1,0,robot,"('robot_1', 'robot_2')",robot_1,robot_2,-0.718804,-0.507460,0.024126,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,left,right,both_detecting|both_warned
13,290000000,global,2,2,0,robot,"('robot_1', 'robot_2')",robot_1,robot_2,-1.410703,-0.913237,0.147259,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,back,back,both_detecting|both_warned
64,90000000,global,3,3,0,robot,"('robot_0', 'robot_4')",robot_0,robot_4,0.279591,-1.971605,0.147861,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,back,left,both_detecting|both_warned
66,690000000,global,4,4,0,robot,"('robot_0', 'robot_4')",robot_0,robot_4,0.424312,-1.781217,0.147786,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,back,left,both_detecting|both_warned
73,330000000,global,5,5,0,robot,"('robot_2', 'robot_3')",robot_2,robot_3,-1.142033,0.371526,0.148114,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,right,front,both_detecting|both_warned
76,260000000,global,6,6,0,robot,"('robot_2', 'robot_3')",robot_2,robot_3,-1.178244,0.346472,0.148385,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,right,front,both_detecting|both_warned
78,530000000,global,7,7,0,robot,"('robot_2', 'robot_3')",robot_2,robot_3,-1.209185,0.388668,0.148036,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,back,front,both_detecting|both_warned
80,380000000,global,8,8,0,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-0.623093,0.633936,0.147721,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,right,right,both_detecting|both_warned
83,720000000,global,9,9,0,robot,"('robot_2', 'robot_3')",robot_2,robot_3,-1.062012,0.330469,0.148067,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,right,right,both_detecting|both_warned
84,200000000,global,10,10,0,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-0.792473,0.823088,0.147082,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,right,right,both_detecting|both_warned
