stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic,entity_a_bump_direction,entity_b_bump_direction,pair_detection_summary
29,790000000,global,1,1,0,robot,"('robot_1', 'robot_4')",robot_1,robot_4,-1.265953,0.637825,0.148168,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,right,both_detecting|both_warned
31,960000000,global,2,2,0,robot,"('robot_1', 'robot_4')",robot_1,robot_4,-1.066118,0.696833,0.024422,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,back,both_detecting|both_warned
34,730000000,global,3,3,0,robot,"('robot_1', 'robot_4')",robot_1,robot_4,-1.055798,0.769451,0.147716,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,back,both_detecting|both_warned
109,730000000,global,4,3,1,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,2.100804,-0.452874,0.147883,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,,robot_obstacle_not_detecting
139,680000000,global,5,4,1,robot,"('robot_1', 'robot_3')",robot_1,robot_3,-1.520472,-1.478577,0.148274,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,back,both_detecting|both_warned
142,730000000,global,6,5,1,robot,"('robot_1', 'robot_3')",robot_1,robot_3,-1.243455,-1.526049,0.023380,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,back,both_detecting|both_warned
159,180000000,global,7,6,1,robot,"('robot_1', 'robot_3')",robot_1,robot_3,0.792842,-0.394372,0.148068,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,left,both_detecting|both_warned
162,330000000,global,8,7,1,robot,"('robot_1', 'robot_3')",robot_1,robot_3,0.909767,-0.275299,0.147918,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,left,both_detecting|both_warned
164,210000000,global,9,8,1,robot,"('robot_1', 'robot_3')",robot_1,robot_3,0.796675,-0.331643,0.147870,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,front,both_detecting|both_warned
166,830000000,global,10,9,1,robot,"('robot_0', 'robot_1')",robot_0,robot_1,1.218613,-0.130512,0.147943,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,back,right,both_detecting|both_warned
168,210000000,global,11,10,1,robot,"('robot_1', 'robot_3')",robot_1,robot_3,0.804094,-0.439621,0.147622,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,back,front,both_detecting|both_warned
171,830000000,global,12,11,1,robot,"('robot_0', 'robot_1')",robot_0,robot_1,0.792287,-0.106075,0.147963,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,left,right,both_detecting|both_warned
172,700000000,global,13,12,1,robot,"('robot_1', 'robot_3')",robot_1,robot_3,0.496090,-0.706039,0.147866,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,front,both_detecting|both_warned
231,140000000,global,14,13,1,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-0.342637,1.880833,0.147775,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,right,right,both_detecting|both_warned
234,700000000,global,15,14,1,robot,"('robot_0', 'robot_2')",robot_0,robot_2,0.169885,1.971792,0.147810,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,right,right,both_detecting|both_warned
248,40000000,global,16,15,1,robot,"('robot_2', 'robot_4')",robot_2,robot_4,-0.999903,3.698507,0.271282,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,right,left,both_detecting|both_warned
252,620000000,global,17,16,1,robot,"('robot_0', 'robot_3')",robot_0,robot_3,2.938112,3.159846,0.147753,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,front,right,both_detecting|both_warned
255,40000000,global,18,17,1,robot,"('robot_0', 'robot_3')",robot_0,robot_3,2.942413,3.129336,0.147794,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,front,right,both_detecting|both_warned
278,740000000,global,19,18,1,robot,"('robot_0', 'robot_1')",robot_0,robot_1,1.530002,0.648434,0.147829,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,back,both_detecting|both_warned
281,310000000,global,20,19,1,robot,"('robot_0', 'robot_1')",robot_0,robot_1,1.610636,0.659561,0.147987,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,left,both_detecting|both_warned
