bump_total,stamp_sec,stamp_nsec,bump_type,key,entity_a,entity_b,robot,frame_index_oldest_first,frame_wall_time,frame_stamp_sec,frame_stamp_nsec,encoding,height,width,npy_path,pgm_path
6,222,690000000,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,robot_1,2,1783611290.768525,221,500000000,32FC1,360,640,collision_depth_frames/bump_0006_robot_1_box4_link_collision/robot_1/frame_02_221_500000000.npy,collision_depth_frames/bump_0006_robot_1_box4_link_collision/robot_1/frame_02_221_500000000.pgm
6,222,690000000,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,robot_1,3,1783611291.311139,222,0,32FC1,360,640,collision_depth_frames/bump_0006_robot_1_box4_link_collision/robot_1/frame_03_222_0.npy,collision_depth_frames/bump_0006_robot_1_box4_link_collision/robot_1/frame_03_222_0.pgm
6,222,690000000,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,robot_1,4,1783611291.760055,222,500000000,32FC1,360,640,collision_depth_frames/bump_0006_robot_1_box4_link_collision/robot_1/frame_04_222_500000000.npy,collision_depth_frames/bump_0006_robot_1_box4_link_collision/robot_1/frame_04_222_500000000.pgm
7,227,430000000,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,robot_1,0,1783611294.281773,225,0,32FC1,360,640,collision_depth_frames/bump_0007_robot_1_box4_link_collision/robot_1/frame_00_225_0.npy,collision_depth_frames/bump_0007_robot_1_box4_link_collision/robot_1/frame_00_225_0.pgm
7,227,430000000,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,robot_1,1,1783611294.775617,225,500000000,32FC1,360,640,collision_depth_frames/bump_0007_robot_1_box4_link_collision/robot_1/frame_01_225_500000000.npy,collision_depth_frames/bump_0007_robot_1_box4_link_collision/robot_1/frame_01_225_500000000.pgm
7,227,430000000,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,robot_1,2,1783611295.266393,226,0,32FC1,360,640,collision_depth_frames/bump_0007_robot_1_box4_link_collision/robot_1/frame_02_226_0.npy,collision_depth_frames/bump_0007_robot_1_box4_link_collision/robot_1/frame_02_226_0.pgm
7,227,430000000,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,robot_1,3,1783611295.760109,226,500000000,32FC1,360,640,collision_depth_frames/bump_0007_robot_1_box4_link_collision/robot_1/frame_03_226_500000000.npy,collision_depth_frames/bump_0007_robot_1_box4_link_collision/robot_1/frame_03_226_500000000.pgm
7,227,430000000,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,robot_1,4,1783611296.260837,227,0,32FC1,360,640,collision_depth_frames/bump_0007_robot_1_box4_link_collision/robot_1/frame_04_227_0.npy,collision_depth_frames/bump_0007_robot_1_box4_link_collision/robot_1/frame_04_227_0.pgm
8,273,190000000,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,robot_4,0,1783611340.226079,271,0,32FC1,360,640,collision_depth_frames/bump_0008_robot_4_box3_link_collision/robot_4/frame_00_271_0.npy,collision_depth_frames/bump_0008_robot_4_box3_link_collision/robot_4/frame_00_271_0.pgm
8,273,190000000,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,robot_4,1,1783611340.726041,271,500000000,32FC1,360,640,collision_depth_frames/bump_0008_robot_4_box3_link_collision/robot_4/frame_01_271_500000000.npy,collision_depth_frames/bump_0008_robot_4_box3_link_collision/robot_4/frame_01_271_500000000.pgm
8,273,190000000,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,robot_4,2,1783611341.230526,272,0,32FC1,360,640,collision_depth_frames/bump_0008_robot_4_box3_link_collision/robot_4/frame_02_272_0.npy,collision_depth_frames/bump_0008_robot_4_box3_link_collision/robot_4/frame_02_272_0.pgm
8,273,190000000,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,robot_4,3,1783611341.727812,272,500000000,32FC1,360,640,collision_depth_frames/bump_0008_robot_4_box3_link_collision/robot_4/frame_03_272_500000000.npy,collision_depth_frames/bump_0008_robot_4_box3_link_collision/robot_4/frame_03_272_500000000.pgm
8,273,190000000,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,robot_4,4,1783611342.227094,273,0,32FC1,360,640,collision_depth_frames/bump_0008_robot_4_box3_link_collision/robot_4/frame_04_273_0.npy,collision_depth_frames/bump_0008_robot_4_box3_link_collision/robot_4/frame_04_273_0.pgm
