wall_time,robot,reasons,raw_zone,effective_zone,peer_warning_zone,peer_warning_age_s,front_distance_m,distance_age_s,cbf_safety_distance_m,cbf_alpha,requested_linear_x,requested_angular_z,filtered_linear_x,filtered_angular_z
1783693486.899724,robot_3,distance_cbf_cap,LEFT,LEFT,CLEAR,inf,0.752528,0.086968,0.600000,1.200000,0.229401,0.000000,0.183034,0.000000
1783693486.999851,robot_3,distance_cbf_cap,LEFT,LEFT,CLEAR,inf,0.752528,0.187072,0.600000,1.200000,0.229401,0.000000,0.183034,0.000000
1783693487.099877,robot_3,distance_cbf_cap,LEFT,LEFT,CLEAR,inf,0.752528,0.287097,0.600000,1.200000,0.229401,0.000000,0.183034,0.000000
1783693487.199815,robot_3,distance_cbf_cap,LEFT,LEFT,CLEAR,inf,0.752528,0.387038,0.600000,1.200000,0.229401,0.000000,0.183034,0.000000
1783693487.299874,robot_3,stale_distance_stop,LEFT,LEFT,CLEAR,inf,0.752528,0.487065,0.600000,1.200000,0.229401,0.000000,0.000000,0.000000
1783693487.399721,robot_3,stale_distance_stop,LEFT,LEFT,CLEAR,inf,0.752528,0.586975,0.600000,1.200000,0.229401,0.000000,0.000000,0.000000
1783693487.499778,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.697714,0.050056,0.600000,1.200000,0.229680,0.000000,0.000000,0.000000
1783693487.599821,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.697714,0.150095,0.600000,1.200000,0.229680,0.000000,0.000000,0.000000
1783693487.699771,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.697714,0.250056,0.600000,1.200000,0.229680,0.000000,0.000000,0.000000
1783693487.799757,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.697714,0.350042,0.600000,1.200000,0.229680,0.000000,0.000000,0.000000
1783693487.899761,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691098,0.057701,0.600000,1.200000,0.229680,0.000000,0.000000,0.000000
1783693487.999736,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691098,0.157688,0.600000,1.200000,0.229680,0.000000,0.000000,0.000000
1783693488.099732,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691098,0.257683,0.600000,1.200000,0.229680,0.000000,0.000000,0.000000
1783693488.199807,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691098,0.357741,0.600000,1.200000,0.264319,0.000000,0.000000,0.000000
1783693488.299769,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691098,0.457711,0.600000,1.200000,0.264319,0.000000,0.000000,0.000000
1783693488.399778,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691098,0.052560,0.600000,1.200000,0.264319,0.000000,0.000000,0.000000
1783693488.499733,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691098,0.152534,0.600000,1.200000,0.264319,0.000000,0.000000,0.000000
1783693488.599794,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691098,0.252579,0.600000,1.200000,0.264319,0.000000,0.000000,0.000000
1783693488.699733,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691098,0.352535,0.600000,1.200000,0.264319,0.000000,0.000000,0.000000
1783693488.799785,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691098,0.452562,0.600000,1.200000,0.264319,0.000000,0.000000,0.000000
1783693488.899752,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691007,0.049256,0.600000,1.200000,0.307394,0.000000,0.000000,0.000000
1783693488.999758,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691007,0.149269,0.600000,1.200000,0.307394,0.000000,0.000000,0.000000
1783693489.099753,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691007,0.249259,0.600000,1.200000,0.307394,0.000000,0.000000,0.000000
1783693489.199751,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691007,0.349257,0.600000,1.200000,0.307394,0.000000,0.000000,0.000000
1783693489.299749,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.691007,0.449254,0.600000,1.200000,0.307394,0.000000,0.000000,0.000000
1783693489.399745,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.690801,0.053116,0.600000,1.200000,0.307394,0.000000,0.000000,0.000000
1783693489.499787,robot_3,zone_stop_forward,CORNER,CORNER,CLEAR,inf,0.690801,0.153145,0.600000,1.200000,0.225281,0.000000,0.000000,0.000000
