model,controller_set,prompt,run,trial,sim_run,coverage_pct,final_coverage_pct,last_time_s,collisions_total,coverage_source,coverage_rows,pareto_optimal,sim_dir,coverage_timeseries_csv,coverage_visited_cells_csv,bump_csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_11,run_20260429_155920,43.000,43.000,300.188,7,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_11/run_20260429_155920,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_11/run_20260429_155920/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_11/run_20260429_155920/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_11/run_20260429_155920/bumps_global_155921.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_12,run_20260429_160422,53.000,53.000,300.251,2,coverage_timeseries,601,True,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_12/run_20260429_160422,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_12/run_20260429_160422/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_12/run_20260429_160422/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_12/run_20260429_160422/bumps_global_160423.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_13,run_20260429_160925,38.000,38.000,300.091,9,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_13/run_20260429_160925,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_13/run_20260429_160925/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_13/run_20260429_160925/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_13/run_20260429_160925/bumps_global_160925.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_14,run_20260429_161427,44.000,44.000,300.189,18,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_14/run_20260429_161427,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_14/run_20260429_161427/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_14/run_20260429_161427/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_14/run_20260429_161427/bumps_global_161428.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_15,run_20260429_161929,39.000,39.000,300.196,6,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_15/run_20260429_161929,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_15/run_20260429_161929/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_15/run_20260429_161929/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_15/run_20260429_161929/bumps_global_161930.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_16,run_20260429_162432,53.000,53.000,300.092,38,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_16/run_20260429_162432,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_16/run_20260429_162432/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_16/run_20260429_162432/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_16/run_20260429_162432/bumps_global_162432.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_17,run_20260429_162934,41.000,41.000,300.201,8,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_17/run_20260429_162934,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_17/run_20260429_162934/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_17/run_20260429_162934/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_17/run_20260429_162934/bumps_global_162935.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_18,run_20260429_163437,53.000,53.000,300.193,30,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_18/run_20260429_163437,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_18/run_20260429_163437/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_18/run_20260429_163437/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_18/run_20260429_163437/bumps_global_163437.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_19,run_20260429_163939,53.000,53.000,300.105,28,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_19/run_20260429_163939,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_19/run_20260429_163939/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_19/run_20260429_163939/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_19/run_20260429_163939/bumps_global_163940.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_20,run_20260429_164441,47.000,47.000,300.168,17,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_20/run_20260429_164441,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_20/run_20260429_164441/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_20/run_20260429_164441/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_20/run_20260429_164441/bumps_global_164442.csv
