time_s,collisions
0.000,0
39.741,1
39.743,2
41.645,3
41.647,4
43.316,5
43.317,6
48.205,7
48.206,8
50.077,9
50.078,10
55.053,11
55.054,12
57.830,13
57.831,14
61.047,15
61.048,16
63.533,17
63.534,18
66.560,19
66.561,20
78.026,21
78.027,22
84.368,23
84.369,24
87.545,25
87.545,26
224.608,27
224.609,28
266.475,29
266.476,30
268.939,31
268.940,32
271.005,33
276.823,34
293.006,35
293.007,36
300.385,37
300.386,38
300.387,39
300.387,40
304.169,41
304.170,42
306.144,43
306.145,44
333.658,45
333.658,46
336.251,47
336.252,48
338.396,49
338.397,50
342.673,51
342.674,52
343.743,53
343.743,54
348.322,55
348.322,56
362.234,57
367.664,58
367.666,59
367.667,60
367.669,61
382.956,62
382.957,63
382.958,64
382.959,65
385.457,66
385.458,67
387.071,68
387.072,69
388.156,70
388.157,71
396.242,72
396.244,73
401.843,74
401.844,75
402.374,76
402.375,77
411.303,78
411.304,79
417.906,80
465.319,81
465.320,82
465.856,83
465.857,84
469.829,85
476.296,86
476.297,87
478.325,88
478.325,89
478.997,90
478.999,91
480.733,92
480.735,93
492.571,94
492.572,95
