controller,prompt,run,trial,sim_run,coverage_pct,collisions_total,pareto_optimal,sim_dir,coverage_csv,bump_csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_11,run_20260429_014406,63.0,16,True,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_11/run_20260429_014406,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_11/run_20260429_014406/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_11/run_20260429_014406/bumps_global_014407.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_12,run_20260429_014910,49.0,31,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_12/run_20260429_014910,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_12/run_20260429_014910/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_12/run_20260429_014910/bumps_global_014910.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_13,run_20260429_015413,60.0,12,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_13/run_20260429_015413,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_13/run_20260429_015413/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_13/run_20260429_015413/bumps_global_015414.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_14,run_20260429_015917,59.0,21,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_14/run_20260429_015917,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_14/run_20260429_015917/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_14/run_20260429_015917/bumps_global_015917.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_15,run_20260429_020420,59.0,16,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_15/run_20260429_020420,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_15/run_20260429_020420/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_15/run_20260429_020420/bumps_global_020421.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_16,run_20260429_020924,58.0,21,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_16/run_20260429_020924,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_16/run_20260429_020924/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_16/run_20260429_020924/bumps_global_020925.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_17,run_20260429_021428,60.0,24,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_17/run_20260429_021428,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_17/run_20260429_021428/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_17/run_20260429_021428/bumps_global_021428.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_18,run_20260429_021931,59.0,31,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_18/run_20260429_021931,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_18/run_20260429_021931/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_18/run_20260429_021931/bumps_global_021932.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_19,run_20260429_022435,66.0,38,True,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_19/run_20260429_022435,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_19/run_20260429_022435/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_19/run_20260429_022435/bumps_global_022435.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_20,run_20260429_022939,61.0,20,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_20/run_20260429_022939,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_20/run_20260429_022939/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_20/run_20260429_022939/bumps_global_022939.csv
