stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic,entity_a_bump_direction,entity_b_bump_direction,pair_detection_summary
24,930000000,global,1,1,0,robot,"('robot_2', 'robot_4')",robot_2,robot_4,-0.168845,2.140096,0.023557,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,left,back,both_detecting|both_warned
136,400000000,global,2,2,0,robot,"('robot_0', 'robot_1')",robot_0,robot_1,0.282058,-1.246378,0.148570,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,right,left,both_detecting|both_warned
179,920000000,global,3,3,0,robot,"('robot_0', 'robot_3')",robot_0,robot_3,-3.171153,-2.249262,0.148078,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,left,right,both_detecting|both_warned
183,0,global,4,4,0,robot,"('robot_0', 'robot_3')",robot_0,robot_3,-3.378836,-2.201364,0.148021,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,left,front,both_detecting|both_warned
197,520000000,global,5,5,0,robot,"('robot_1', 'robot_4')",robot_1,robot_4,1.857717,3.876396,0.023563,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,back,right,both_detecting|both_warned
234,780000000,global,6,6,0,robot,"('robot_1', 'robot_4')",robot_1,robot_4,3.641736,2.193385,0.148005,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,front,right,both_detecting|both_warned
235,970000000,global,7,7,0,robot,"('robot_1', 'robot_4')",robot_1,robot_4,3.662068,2.506063,0.272511,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,front,right,both_detecting|both_warned
289,620000000,global,8,8,0,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-0.487087,1.134481,0.148001,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,back,left,both_detecting|both_warned
