stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic,entity_a_bump_direction,entity_b_bump_direction,pair_detection_summary
77,410000000,global,1,1,0,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-2.817398,-2.266268,0.148381,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,back,back,both_detecting|both_warned
147,680000000,global,2,2,0,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-2.511646,3.463273,0.147753,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,back,right,both_detecting|both_warned
291,490000000,global,3,3,0,robot,"('robot_1', 'robot_2')",robot_1,robot_2,0.300833,-1.532307,0.148097,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,front,both_detecting|both_warned
