time_s,collisions_total,collisions_robot,collisions_obstacle
0.000,0,0,0
12.027,1,1,0
12.027,2,2,0
22.253,3,3,0
22.254,4,4,0
29.077,5,5,0
29.078,6,6,0
31.134,7,7,0
31.134,8,8,0
36.541,9,9,0
36.541,10,10,0
39.022,11,10,1
40.234,12,10,2
51.258,13,11,2
51.259,14,12,2
52.534,15,13,2
52.534,16,14,2
56.235,17,15,2
56.236,18,16,2
65.742,19,16,3
67.140,20,16,4
68.258,21,16,5
71.519,22,17,5
71.519,23,18,5
71.519,24,18,6
71.520,25,19,6
71.520,26,20,6
71.520,27,21,6
71.520,28,22,6
72.534,29,23,6
72.541,30,24,6
72.541,31,25,6
72.542,32,25,7
72.542,33,26,7
72.542,34,27,7
72.542,35,28,7
76.686,36,28,8
82.662,37,28,9
98.487,38,29,9
98.487,39,30,9
99.118,40,30,10
101.581,41,31,10
101.581,42,32,10
132.604,43,32,11
143.071,44,33,11
143.071,45,34,11
160.646,46,34,12
161.539,47,35,12
161.539,48,36,12
162.624,49,37,12
162.624,50,38,12
191.147,51,39,12
191.147,52,40,12
212.081,53,40,13
216.587,54,40,14
220.722,55,40,15
258.243,56,41,15
258.244,57,42,15
318.602,58,43,15
318.602,59,44,15
318.603,60,45,15
318.603,61,46,15
323.626,62,47,15
323.626,63,48,15
323.626,64,49,15
323.626,65,50,15
327.088,66,51,15
327.088,67,52,15
327.088,68,53,15
327.088,69,54,15
328.082,70,55,15
328.082,71,56,15
328.082,72,57,15
328.082,73,58,15
329.175,74,59,15
330.122,75,60,15
330.122,76,61,15
330.122,77,62,15
330.123,78,63,15
360.632,79,63,16
365.579,80,63,17
366.574,81,63,18
367.603,82,63,19
375.221,83,63,20
395.716,84,63,21
398.672,85,63,22
399.202,86,63,23
400.133,87,63,24
401.679,88,63,25
403.129,89,63,26
437.144,90,63,27
439.610,91,63,28
480.121,92,63,29
489.708,93,63,30
495.202,94,64,30
495.203,95,65,30
