series,n,coverage_mean_pct,coverage_variance,collisions_total_sum,collisions_total_mean,collisions_total_variance,collisions_per_min_mean,collisions_per_min_variance
Original,30,57.700000,38.355172,747,24.900000,169.334483,4.977898,6.767582
Hardcoded specs,30,58.933333,18.271264,1646,54.866667,340.740230,10.967773,13.618551
