wall_time,source,target,decision,skip_reason,warning_zone,distance_m,confidence,raw_detection,raw_message
1783680716.187500,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.229566,,global_pose,"bearing_deg=-7.362,zone_reason=front_sector"
1783680716.287262,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.206765,,global_pose,"bearing_deg=-8.844,zone_reason=front_sector"
1783680716.387388,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.184802,,global_pose,"bearing_deg=-10.383,zone_reason=front_sector"
1783680716.487279,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.163725,,global_pose,"bearing_deg=-11.978,zone_reason=front_sector"
1783680716.587261,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.143583,,global_pose,"bearing_deg=-13.630,zone_reason=front_sector"
1783680716.687271,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.124425,,global_pose,"bearing_deg=-15.341,zone_reason=front_sector"
1783680716.787232,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.106304,,global_pose,"bearing_deg=-17.109,zone_reason=front_sector"
1783680716.887282,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.085824,,global_pose,"bearing_deg=-18.461,zone_reason=front_sector"
1783680716.987267,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.064914,,global_pose,"bearing_deg=-19.749,zone_reason=front_sector"
1783680717.087258,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.044265,,global_pose,"bearing_deg=-21.094,zone_reason=front_sector"
1783680717.187274,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.019964,,global_pose,"bearing_deg=-21.906,zone_reason=front_sector"
1783680717.287328,robot_3,robot_4,sent,,CORNER,0.997873,,global_pose,"bearing_deg=-23.120,zone_reason=front_sector"
1783680717.387350,robot_3,robot_4,sent,,CORNER,0.981028,,global_pose,"bearing_deg=-24.820,zone_reason=front_sector"
1783680717.487342,robot_3,robot_4,sent,,CORNER,0.976817,,global_pose,"bearing_deg=-27.465,zone_reason=front_sector"
1783680717.587438,robot_3,robot_4,sent,,CORNER,0.986770,,global_pose,"bearing_deg=-31.080,zone_reason=front_sector"
1783680717.687312,robot_3,robot_4,sent,,CORNER,0.994335,,global_pose,"bearing_deg=-34.310,zone_reason=front_sector"
1783680717.787274,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.001532,,global_pose,"bearing_deg=-38.161,zone_reason=front_sector"
