wall_time,robot,reasons,raw_zone,effective_zone,peer_warning_zone,peer_warning_age_s,front_distance_m,distance_age_s,cbf_safety_distance_m,cbf_alpha,requested_linear_x,requested_angular_z,filtered_linear_x,filtered_angular_z
1783680571.221979,robot_1,distance_cbf_cap,LEFT,LEFT,CLEAR,inf,0.727729,0.025574,0.600000,1.200000,0.160000,-0.250000,0.153275,-0.250000
1783680571.321942,robot_1,distance_cbf_cap,LEFT,LEFT,CLEAR,inf,0.727729,0.125543,0.600000,1.200000,0.160000,-0.250000,0.153275,-0.250000
1783680571.421986,robot_1,distance_cbf_cap,LEFT,LEFT,CLEAR,inf,0.727729,0.225575,0.600000,1.200000,0.160000,-0.250000,0.153275,-0.250000
1783680571.521998,robot_1,distance_cbf_cap,LEFT,LEFT,CLEAR,inf,0.727729,0.325585,0.600000,1.200000,0.160000,-0.250000,0.153275,-0.250000
1783680571.621966,robot_1,stale_distance_stop,LEFT,LEFT,CLEAR,inf,0.727729,0.425561,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783680574.621989,robot_1,stale_distance_stop,RIGHT,RIGHT,CLEAR,inf,0.995319,0.432786,0.600000,1.200000,0.160000,0.250000,0.000000,0.250000
1783680575.122099,robot_1,stale_distance_stop,RIGHT,RIGHT,CLEAR,inf,1.143063,0.423306,0.600000,1.200000,0.160000,0.250000,0.000000,0.250000
1783680575.622031,robot_1,stale_distance_stop,RIGHT,RIGHT,CLEAR,inf,1.271628,0.424648,0.600000,1.200000,0.160000,0.250000,0.000000,0.250000
1783680575.722046,robot_1,turn_left_blocked,LEFT,LEFT,CLEAR,inf,1.339696,0.031397,0.600000,1.200000,0.160000,0.250000,0.160000,0.000000
1783680576.122023,robot_1,stale_distance_stop,LEFT,LEFT,CLEAR,inf,1.339696,0.431397,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783680576.622089,robot_1,stale_distance_stop,LEFT,LEFT,CLEAR,inf,1.322721,0.423663,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783680576.721946,robot_1,turn_right_blocked,RIGHT,RIGHT,CLEAR,inf,1.169703,0.029281,0.600000,1.200000,0.160000,-0.250000,0.160000,0.000000
1783680577.122049,robot_1,stale_distance_stop,RIGHT,RIGHT,CLEAR,inf,1.169703,0.429356,0.600000,1.200000,0.160000,0.250000,0.000000,0.250000
1783680577.622082,robot_1,stale_distance_stop,RIGHT,RIGHT,CLEAR,inf,1.159758,0.435636,0.600000,1.200000,0.160000,0.250000,0.000000,0.250000
1783680577.722007,robot_1,turn_left_blocked,LEFT,LEFT,CLEAR,inf,1.266066,0.029405,0.600000,1.200000,0.160000,0.250000,0.160000,0.000000
1783680578.121998,robot_1,stale_distance_stop,LEFT,LEFT,CLEAR,inf,1.266066,0.429411,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783680578.221975,robot_1,stale_distance_stop,LEFT,LEFT,CLEAR,inf,1.266066,0.529390,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783680578.721947,robot_1,turn_right_blocked,RIGHT,RIGHT,CLEAR,inf,1.066373,0.034055,0.600000,1.200000,0.160000,-0.250000,0.160000,0.000000
