stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic,entity_a_bump_direction,entity_b_bump_direction,pair_detection_summary,depth_snapshot_dir
25,220000000,global,1,0,1,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,5.000462,-0.880487,0.146623,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,back,,robot_obstacle_detecting_CORNER,collision_depth_frames/bump_0001_robot_1_east_wall_link_collision
27,980000000,global,2,0,2,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,5.000304,-0.973543,0.148235,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,,robot_obstacle_detecting_CORNER,collision_depth_frames/bump_0002_robot_1_east_wall_link_collision
133,60000000,global,3,0,3,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,3.779732,-0.824419,0.147414,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,,robot_obstacle_detecting_CORNER,collision_depth_frames/bump_0003_robot_1_box4_link_collision
261,130000000,global,4,1,3,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-2.559571,-4.064530,0.148510,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,back,front,both_detecting|both_warned,collision_depth_frames/bump_0004_robot_3_robot_4
277,60000000,global,5,2,3,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-2.556691,-4.036680,0.024503,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,back,front,both_detecting|both_warned,collision_depth_frames/bump_0005_robot_3_robot_4
281,160000000,global,6,3,3,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-2.501542,-3.902901,0.024266,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,back,front,both_detecting|both_warned,collision_depth_frames/bump_0006_robot_3_robot_4
