frame_index,time_s,robot,x,y
126,4.200,robot_1,2.3467,0.8982
126,4.200,robot_2,0.1791,0.3304
128,4.267,robot_0,0.1872,1.7179
128,4.267,robot_1,2.3429,0.8977
128,4.267,robot_2,0.1791,0.3304
130,4.333,robot_0,0.1872,1.7179
130,4.333,robot_1,2.3307,0.8982
130,4.333,robot_2,0.1791,0.3304
132,4.400,robot_0,0.1872,1.7179
132,4.400,robot_1,2.3137,0.8984
132,4.400,robot_2,0.1791,0.3304
134,4.467,robot_0,0.1872,1.7179
134,4.467,robot_1,2.2928,0.8959
134,4.467,robot_2,0.1791,0.3304
136,4.533,robot_0,0.1872,1.7179
136,4.533,robot_1,2.2648,0.8939
136,4.533,robot_2,0.1791,0.3304
138,4.600,robot_0,0.1872,1.7179
138,4.600,robot_1,2.2407,0.8945
138,4.600,robot_2,0.1791,0.3304
140,4.667,robot_0,0.1872,1.7179
140,4.667,robot_1,2.2168,0.8899
140,4.667,robot_2,0.1791,0.3304
142,4.733,robot_0,0.1872,1.7179
142,4.733,robot_1,2.1928,0.8899
142,4.733,robot_2,0.1791,0.3304
144,4.800,robot_0,0.1872,1.7179
144,4.800,robot_1,2.1647,0.8905
144,4.800,robot_2,0.1791,0.3304
146,4.867,robot_0,0.1872,1.7179
146,4.867,robot_1,2.1409,0.8853
146,4.867,robot_2,0.1791,0.3304
148,4.933,robot_0,0.1872,1.7179
148,4.933,robot_1,2.1167,0.8865
148,4.933,robot_2,0.1791,0.3304
150,5.000,robot_0,0.1872,1.7179
150,5.000,robot_1,2.0908,0.8841
150,5.000,robot_2,0.1791,0.3304
152,5.067,robot_0,0.1872,1.7179
152,5.067,robot_1,2.0638,0.8840
152,5.067,robot_2,0.1791,0.3304
154,5.133,robot_0,0.1872,1.7179
154,5.133,robot_1,2.0408,0.8819
154,5.133,robot_2,0.1791,0.3304
156,5.200,robot_0,0.1872,1.7179
156,5.200,robot_1,2.0149,0.8773
156,5.200,robot_2,0.1791,0.3304
158,5.267,robot_0,0.1872,1.7179
158,5.267,robot_1,1.9899,0.8772
158,5.267,robot_2,0.1791,0.3304
160,5.333,robot_0,0.1872,1.7179
160,5.333,robot_1,1.9647,0.8785
160,5.333,robot_2,0.1791,0.3304
162,5.400,robot_0,0.1872,1.7179
162,5.400,robot_1,1.9418,0.8738
162,5.400,robot_2,0.1791,0.3304
164,5.467,robot_0,0.1872,1.7179
164,5.467,robot_1,1.9189,0.8733
164,5.467,robot_2,0.1791,0.3304
166,5.533,robot_0,0.1872,1.7179
166,5.533,robot_1,1.8958,0.8738
166,5.533,robot_2,0.1791,0.3304
168,5.600,robot_0,0.1872,1.7179
168,5.600,robot_1,1.8668,0.8719
168,5.600,robot_2,0.1791,0.3304
170,5.667,robot_0,0.1872,1.7179
170,5.667,robot_1,1.8548,0.8719
