time_s,coverage_pct,visited_cells,free_cells
0.000,14.167,85,600
0.067,14.167,85,600
0.133,14.167,85,600
0.200,14.167,85,600
0.267,14.167,85,600
0.333,14.167,85,600
0.400,14.167,85,600
0.467,14.167,85,600
0.533,14.167,85,600
0.600,14.167,85,600
0.667,14.167,85,600
0.733,14.167,85,600
0.800,14.167,85,600
0.867,14.167,85,600
0.933,14.167,85,600
1.000,14.167,85,600
1.067,14.167,85,600
1.133,14.167,85,600
1.200,14.167,85,600
1.267,14.167,85,600
1.333,14.167,85,600
1.400,14.167,85,600
1.467,14.167,85,600
1.533,14.167,85,600
1.600,14.167,85,600
1.667,14.167,85,600
1.733,14.167,85,600
1.800,14.167,85,600
1.867,14.167,85,600
1.933,14.167,85,600
2.000,14.167,85,600
2.067,14.167,85,600
2.133,14.167,85,600
2.200,14.167,85,600
2.267,14.167,85,600
2.333,14.167,85,600
2.400,14.167,85,600
2.467,14.167,85,600
2.533,14.167,85,600
2.600,14.167,85,600
2.667,14.167,85,600
2.733,14.167,85,600
2.800,14.167,85,600
2.867,14.167,85,600
2.933,14.167,85,600
3.000,14.167,85,600
3.067,14.167,85,600
3.133,14.167,85,600
3.200,14.167,85,600
3.267,14.167,85,600
3.333,14.167,85,600
3.400,14.167,85,600
3.467,14.167,85,600
3.533,14.167,85,600
3.600,14.167,85,600
3.667,14.167,85,600
3.733,14.167,85,600
3.800,14.167,85,600
3.867,14.167,85,600
3.933,14.167,85,600
4.000,14.167,85,600
4.067,14.167,85,600
4.133,14.167,85,600
4.200,14.167,85,600
4.267,14.167,85,600
4.333,14.167,85,600
4.400,15.167,91,600
4.467,15.167,91,600
4.533,15.167,91,600
4.600,15.167,91,600
4.667,16.167,97,600
4.733,16.167,97,600
4.800,16.167,97,600
4.867,16.167,97,600
4.933,17.167,103,600
5.000,17.167,103,600
5.067,17.167,103,600
5.133,17.167,103,600
5.200,18.167,109,600
5.267,18.167,109,600
5.333,18.167,109,600
5.400,18.167,109,600
5.467,19.000,114,600
5.533,19.000,114,600
5.600,19.000,114,600
5.667,19.000,114,600
5.733,19.833,119,600
5.800,19.833,119,600
5.867,19.833,119,600
5.933,19.833,119,600
6.000,20.667,124,600
6.067,20.667,124,600
6.133,20.667,124,600
6.200,20.667,124,600
6.267,20.667,124,600
6.333,21.500,129,600
6.400,21.500,129,600
6.467,21.500,129,600
6.533,22.333,134,600
6.600,22.333,134,600
6.667,22.333,134,600
6.733,22.333,134,600
6.800,23.167,139,600
6.867,23.167,139,600
6.933,23.167,139,600
7.000,23.167,139,600
7.067,23.167,139,600
7.133,24.000,144,600
7.200,24.000,144,600
7.267,24.000,144,600
7.333,24.000,144,600
7.400,24.000,144,600
7.467,24.000,144,600
7.533,24.000,144,600
7.600,24.000,144,600
7.667,24.000,144,600
7.733,24.000,144,600
7.800,24.000,144,600
7.867,24.000,144,600
7.933,24.833,149,600
8.000,24.833,149,600
8.067,24.833,149,600
8.133,24.833,149,600
8.200,24.833,149,600
8.267,24.833,149,600
8.333,24.833,149,600
8.400,24.833,149,600
8.467,24.833,149,600
8.533,24.833,149,600
8.600,24.833,149,600
8.667,24.833,149,600
8.733,24.833,149,600
8.800,24.833,149,600
8.867,24.833,149,600
8.933,24.833,149,600
9.000,24.833,149,600
9.067,24.833,149,600
9.133,24.833,149,600
9.200,24.833,149,600
9.267,24.833,149,600
9.333,24.833,149,600
9.400,24.833,149,600
9.467,24.833,149,600
9.533,24.833,149,600
9.600,24.833,149,600
9.667,24.833,149,600
9.733,24.833,149,600
9.800,24.833,149,600
9.867,24.833,149,600
9.933,24.833,149,600
10.000,24.833,149,600
10.067,24.833,149,600
10.133,24.833,149,600
10.200,24.833,149,600
10.267,24.833,149,600
10.333,25.667,154,600
10.400,25.667,154,600
10.467,25.667,154,600
10.533,25.667,154,600
10.600,25.667,154,600
10.667,25.667,154,600
10.733,25.667,154,600
10.800,25.667,154,600
10.867,25.667,154,600
10.933,25.833,155,600
11.000,25.833,155,600
11.067,25.833,155,600
11.133,25.833,155,600
11.200,25.833,155,600
11.267,25.833,155,600
11.333,25.833,155,600
11.400,25.833,155,600
11.467,25.833,155,600
11.533,25.833,155,600
11.600,25.833,155,600
11.667,25.833,155,600
11.733,25.833,155,600
11.800,25.833,155,600
11.867,25.833,155,600
11.933,25.833,155,600
12.000,25.833,155,600
12.067,25.833,155,600
12.133,25.833,155,600
12.200,25.833,155,600
12.267,25.833,155,600
12.333,25.833,155,600
12.400,26.667,160,600
12.467,26.667,160,600
12.533,26.667,160,600
12.600,26.667,160,600
12.667,26.667,160,600
12.733,26.667,160,600
12.800,27.500,165,600
12.867,27.500,165,600
12.933,27.500,165,600
13.000,27.500,165,600
13.067,27.500,165,600
13.133,27.500,165,600
13.200,27.500,165,600
13.267,27.500,165,600
13.333,27.500,165,600
13.400,27.500,165,600
13.467,27.500,165,600
13.533,27.500,165,600
13.600,27.500,165,600
13.667,27.500,165,600
13.733,27.500,165,600
13.800,27.500,165,600
13.867,27.500,165,600
13.933,27.500,165,600
14.000,27.500,165,600
14.067,27.500,165,600
14.133,27.500,165,600
14.200,27.500,165,600
14.267,27.500,165,600
14.333,27.500,165,600
14.400,27.500,165,600
14.467,27.500,165,600
14.533,27.500,165,600
14.600,27.500,165,600
14.667,27.500,165,600
14.733,27.500,165,600
14.800,27.667,166,600
14.867,27.667,166,600
14.933,27.667,166,600
15.000,27.667,166,600
15.067,27.667,166,600
15.133,27.667,166,600
15.200,27.833,167,600
15.267,27.833,167,600
15.333,28.000,168,600
15.400,28.000,168,600
15.467,28.000,168,600
15.533,28.000,168,600
15.600,28.167,169,600
15.667,28.167,169,600
15.733,28.167,169,600
15.800,28.167,169,600
15.867,28.167,169,600
15.933,28.333,170,600
16.000,28.333,170,600
16.067,28.333,170,600
16.133,28.333,170,600
16.200,28.333,170,600
16.267,28.333,170,600
16.333,28.333,170,600
16.400,28.333,170,600
16.467,28.333,170,600
16.533,28.333,170,600
16.600,28.333,170,600
16.667,28.333,170,600
16.733,28.333,170,600
16.800,28.333,170,600
16.867,28.333,170,600
16.933,28.333,170,600
17.000,28.333,170,600
17.067,28.333,170,600
17.133,28.333,170,600
17.200,28.333,170,600
17.267,28.333,170,600
17.333,28.333,170,600
17.400,28.333,170,600
17.467,28.333,170,600
17.533,28.333,170,600
17.600,28.333,170,600
17.667,28.333,170,600
17.733,28.333,170,600
17.800,28.333,170,600
17.867,28.333,170,600
17.933,28.333,170,600
18.000,28.333,170,600
18.067,28.333,170,600
18.133,28.333,170,600
18.200,28.333,170,600
18.267,28.333,170,600
18.333,28.333,170,600
18.400,28.333,170,600
18.467,28.333,170,600
18.533,28.333,170,600
18.600,28.500,171,600
18.667,28.500,171,600
18.733,28.500,171,600
18.800,28.500,171,600
18.867,28.500,171,600
18.933,28.500,171,600
19.000,28.500,171,600
19.067,28.500,171,600
19.133,28.500,171,600
19.200,28.500,171,600
19.267,28.500,171,600
19.333,28.500,171,600
19.400,28.500,171,600
19.467,28.500,171,600
19.533,28.500,171,600
19.600,28.500,171,600
19.667,28.500,171,600
19.733,28.500,171,600
19.800,28.500,171,600
19.867,28.500,171,600
19.933,28.500,171,600
20.000,28.500,171,600
20.067,28.500,171,600
20.133,28.500,171,600
20.200,28.500,171,600
20.267,28.500,171,600
20.333,28.500,171,600
20.400,28.500,171,600
20.467,28.500,171,600
20.533,28.500,171,600
20.600,28.500,171,600
20.667,28.500,171,600
20.733,28.500,171,600
20.800,28.500,171,600
20.867,28.500,171,600
20.933,28.500,171,600
21.000,28.500,171,600
21.067,28.500,171,600
21.133,28.500,171,600
21.200,28.500,171,600
21.267,28.500,171,600
21.333,28.500,171,600
21.400,28.667,172,600
21.467,28.667,172,600
21.533,28.667,172,600
21.600,28.667,172,600
21.667,28.667,172,600
21.733,28.833,173,600
21.800,28.833,173,600
21.867,28.833,173,600
21.933,29.000,174,600
22.000,29.000,174,600
22.067,29.000,174,600
22.133,29.000,174,600
22.200,29.167,175,600
22.267,29.167,175,600
22.333,29.167,175,600
22.400,29.167,175,600
22.467,29.167,175,600
22.533,29.333,176,600
22.600,29.333,176,600
22.667,29.333,176,600
22.733,29.333,176,600
22.800,29.333,176,600
22.867,29.333,176,600
22.933,29.333,176,600
23.000,29.333,176,600
23.067,29.333,176,600
23.133,29.333,176,600
23.200,29.333,176,600
23.267,29.333,176,600
23.333,29.333,176,600
23.400,29.333,176,600
23.467,29.333,176,600
23.533,29.333,176,600
23.600,29.333,176,600
23.667,29.333,176,600
23.733,29.333,176,600
23.800,29.333,176,600
23.867,29.333,176,600
23.933,29.333,176,600
24.000,29.333,176,600
24.067,29.333,176,600
24.133,29.333,176,600
24.200,29.333,176,600
24.267,29.333,176,600
24.333,29.333,176,600
24.400,29.333,176,600
24.467,29.333,176,600
24.533,29.333,176,600
24.600,29.333,176,600
24.667,29.333,176,600
24.733,29.333,176,600
24.800,29.333,176,600
24.867,29.333,176,600
24.933,29.333,176,600
25.000,29.333,176,600
25.067,29.333,176,600
25.133,29.333,176,600
25.200,29.333,176,600
25.267,29.333,176,600
25.333,29.333,176,600
25.400,29.333,176,600
25.467,29.333,176,600
25.533,29.333,176,600
25.600,29.333,176,600
25.667,29.333,176,600
25.733,29.333,176,600
25.800,29.333,176,600
25.867,29.333,176,600
25.933,29.333,176,600
26.000,29.333,176,600
26.067,29.333,176,600
26.133,29.333,176,600
26.200,29.333,176,600
26.267,29.333,176,600
26.333,29.333,176,600
26.400,29.333,176,600
26.467,29.333,176,600
26.533,29.333,176,600
26.600,29.333,176,600
26.667,29.333,176,600
26.733,29.333,176,600
26.800,29.333,176,600
26.867,29.333,176,600
26.933,29.333,176,600
27.000,29.333,176,600
27.067,29.333,176,600
27.133,29.333,176,600
27.200,29.333,176,600
