frame_index,time_s,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
0,0.000,robot_0,420,0.0000,1.4000,0.0500,1.4500
0,0.000,robot_0,421,0.1000,1.4000,0.1500,1.4500
0,0.000,robot_0,422,0.2000,1.4000,0.2500,1.4500
0,0.000,robot_0,423,0.3000,1.4000,0.3500,1.4500
0,0.000,robot_0,424,0.4000,1.4000,0.4500,1.4500
0,0.000,robot_0,450,0.0000,1.5000,0.0500,1.5500
0,0.000,robot_0,451,0.1000,1.5000,0.1500,1.5500
0,0.000,robot_0,452,0.2000,1.5000,0.2500,1.5500
0,0.000,robot_0,453,0.3000,1.5000,0.3500,1.5500
0,0.000,robot_0,454,0.4000,1.5000,0.4500,1.5500
0,0.000,robot_0,480,0.0000,1.6000,0.0500,1.6500
0,0.000,robot_0,481,0.1000,1.6000,0.1500,1.6500
0,0.000,robot_0,482,0.2000,1.6000,0.2500,1.6500
0,0.000,robot_0,483,0.3000,1.6000,0.3500,1.6500
0,0.000,robot_0,484,0.4000,1.6000,0.4500,1.6500
0,0.000,robot_0,510,0.0000,1.7000,0.0500,1.7500
0,0.000,robot_0,511,0.1000,1.7000,0.1500,1.7500
0,0.000,robot_0,512,0.2000,1.7000,0.2500,1.7500
0,0.000,robot_0,513,0.3000,1.7000,0.3500,1.7500
0,0.000,robot_0,514,0.4000,1.7000,0.4500,1.7500
0,0.000,robot_0,540,0.0000,1.8000,0.0500,1.8500
0,0.000,robot_0,541,0.1000,1.8000,0.1500,1.8500
0,0.000,robot_0,542,0.2000,1.8000,0.2500,1.8500
0,0.000,robot_0,543,0.3000,1.8000,0.3500,1.8500
0,0.000,robot_0,544,0.4000,1.8000,0.4500,1.8500
0,0.000,robot_0,570,0.0000,1.9000,0.0500,1.9500
0,0.000,robot_0,571,0.1000,1.9000,0.1500,1.9500
0,0.000,robot_0,572,0.2000,1.9000,0.2500,1.9500
0,0.000,robot_0,573,0.3000,1.9000,0.3500,1.9500
0,0.000,robot_0,574,0.4000,1.9000,0.4500,1.9500
0,0.000,robot_1,201,2.1000,0.6000,2.1500,0.6500
0,0.000,robot_1,202,2.2000,0.6000,2.2500,0.6500
0,0.000,robot_1,203,2.3000,0.6000,2.3500,0.6500
0,0.000,robot_1,204,2.4000,0.6000,2.4500,0.6500
0,0.000,robot_1,205,2.5000,0.6000,2.5500,0.6500
0,0.000,robot_1,231,2.1000,0.7000,2.1500,0.7500
0,0.000,robot_1,232,2.2000,0.7000,2.2500,0.7500
0,0.000,robot_1,233,2.3000,0.7000,2.3500,0.7500
0,0.000,robot_1,234,2.4000,0.7000,2.4500,0.7500
0,0.000,robot_1,235,2.5000,0.7000,2.5500,0.7500
0,0.000,robot_1,261,2.1000,0.8000,2.1500,0.8500
0,0.000,robot_1,262,2.2000,0.8000,2.2500,0.8500
0,0.000,robot_1,263,2.3000,0.8000,2.3500,0.8500
0,0.000,robot_1,264,2.4000,0.8000,2.4500,0.8500
0,0.000,robot_1,265,2.5000,0.8000,2.5500,0.8500
0,0.000,robot_1,291,2.1000,0.9000,2.1500,0.9500
0,0.000,robot_1,292,2.2000,0.9000,2.2500,0.9500
0,0.000,robot_1,293,2.3000,0.9000,2.3500,0.9500
0,0.000,robot_1,294,2.4000,0.9000,2.4500,0.9500
0,0.000,robot_1,295,2.5000,0.9000,2.5500,0.9500
0,0.000,robot_1,321,2.1000,1.0000,2.1500,1.0500
0,0.000,robot_1,322,2.2000,1.0000,2.2500,1.0500
0,0.000,robot_1,323,2.3000,1.0000,2.3500,1.0500
0,0.000,robot_1,324,2.4000,1.0000,2.4500,1.0500
0,0.000,robot_1,325,2.5000,1.0000,2.5500,1.0500
0,0.000,robot_1,351,2.1000,1.1000,2.1500,1.1500
0,0.000,robot_1,352,2.2000,1.1000,2.2500,1.1500
0,0.000,robot_1,353,2.3000,1.1000,2.3500,1.1500
0,0.000,robot_1,354,2.4000,1.1000,2.4500,1.1500
0,0.000,robot_1,355,2.5000,1.1000,2.5500,1.1500
0,0.000,robot_2,30,0.0000,0.1000,0.0500,0.1500
0,0.000,robot_2,31,0.1000,0.1000,0.1500,0.1500
0,0.000,robot_2,32,0.2000,0.1000,0.2500,0.1500
0,0.000,robot_2,33,0.3000,0.1000,0.3500,0.1500
0,0.000,robot_2,34,0.4000,0.1000,0.4500,0.1500
0,0.000,robot_2,60,0.0000,0.2000,0.0500,0.2500
0,0.000,robot_2,61,0.1000,0.2000,0.1500,0.2500
0,0.000,robot_2,62,0.2000,0.2000,0.2500,0.2500
