frame_index,time_s,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
0,0.000,robot_2,63,0.3000,0.2000,0.3500,0.2500
0,0.000,robot_2,64,0.4000,0.2000,0.4500,0.2500
0,0.000,robot_2,90,0.0000,0.3000,0.0500,0.3500
0,0.000,robot_2,91,0.1000,0.3000,0.1500,0.3500
0,0.000,robot_2,92,0.2000,0.3000,0.2500,0.3500
0,0.000,robot_2,93,0.3000,0.3000,0.3500,0.3500
0,0.000,robot_2,94,0.4000,0.3000,0.4500,0.3500
0,0.000,robot_2,120,0.0000,0.4000,0.0500,0.4500
0,0.000,robot_2,121,0.1000,0.4000,0.1500,0.4500
0,0.000,robot_2,122,0.2000,0.4000,0.2500,0.4500
0,0.000,robot_2,123,0.3000,0.4000,0.3500,0.4500
0,0.000,robot_2,124,0.4000,0.4000,0.4500,0.4500
0,0.000,robot_2,150,0.0000,0.5000,0.0500,0.5500
0,0.000,robot_2,151,0.1000,0.5000,0.1500,0.5500
0,0.000,robot_2,152,0.2000,0.5000,0.2500,0.5500
0,0.000,robot_2,153,0.3000,0.5000,0.3500,0.5500
0,0.000,robot_2,154,0.4000,0.5000,0.4500,0.5500
132,4.400,robot_1,200,2.0000,0.6000,2.0500,0.6500
132,4.400,robot_1,230,2.0000,0.7000,2.0500,0.7500
132,4.400,robot_1,260,2.0000,0.8000,2.0500,0.8500
132,4.400,robot_1,290,2.0000,0.9000,2.0500,0.9500
132,4.400,robot_1,320,2.0000,1.0000,2.0500,1.0500
132,4.400,robot_1,350,2.0000,1.1000,2.0500,1.1500
140,4.667,robot_1,199,1.9000,0.6000,1.9500,0.6500
140,4.667,robot_1,229,1.9000,0.7000,1.9500,0.7500
140,4.667,robot_1,259,1.9000,0.8000,1.9500,0.8500
140,4.667,robot_1,289,1.9000,0.9000,1.9500,0.9500
140,4.667,robot_1,319,1.9000,1.0000,1.9500,1.0500
140,4.667,robot_1,349,1.9000,1.1000,1.9500,1.1500
148,4.933,robot_1,198,1.8000,0.6000,1.8500,0.6500
148,4.933,robot_1,228,1.8000,0.7000,1.8500,0.7500
148,4.933,robot_1,258,1.8000,0.8000,1.8500,0.8500
148,4.933,robot_1,288,1.8000,0.9000,1.8500,0.9500
148,4.933,robot_1,318,1.8000,1.0000,1.8500,1.0500
148,4.933,robot_1,348,1.8000,1.1000,1.8500,1.1500
156,5.200,robot_1,197,1.7000,0.6000,1.7500,0.6500
156,5.200,robot_1,227,1.7000,0.7000,1.7500,0.7500
156,5.200,robot_1,257,1.7000,0.8000,1.7500,0.8500
156,5.200,robot_1,287,1.7000,0.9000,1.7500,0.9500
156,5.200,robot_1,317,1.7000,1.0000,1.7500,1.0500
156,5.200,robot_1,347,1.7000,1.1000,1.7500,1.1500
164,5.467,robot_1,196,1.6000,0.6000,1.6500,0.6500
164,5.467,robot_1,226,1.6000,0.7000,1.6500,0.7500
164,5.467,robot_1,256,1.6000,0.8000,1.6500,0.8500
164,5.467,robot_1,286,1.6000,0.9000,1.6500,0.9500
164,5.467,robot_1,316,1.6000,1.0000,1.6500,1.0500
172,5.733,robot_1,195,1.5000,0.6000,1.5500,0.6500
172,5.733,robot_1,225,1.5000,0.7000,1.5500,0.7500
172,5.733,robot_1,255,1.5000,0.8000,1.5500,0.8500
172,5.733,robot_1,285,1.5000,0.9000,1.5500,0.9500
172,5.733,robot_1,315,1.5000,1.0000,1.5500,1.0500
180,6.000,robot_1,194,1.4000,0.6000,1.4500,0.6500
180,6.000,robot_1,224,1.4000,0.7000,1.4500,0.7500
180,6.000,robot_1,254,1.4000,0.8000,1.4500,0.8500
180,6.000,robot_1,284,1.4000,0.9000,1.4500,0.9500
180,6.000,robot_1,314,1.4000,1.0000,1.4500,1.0500
190,6.333,robot_1,193,1.3000,0.6000,1.3500,0.6500
190,6.333,robot_1,223,1.3000,0.7000,1.3500,0.7500
190,6.333,robot_1,253,1.3000,0.8000,1.3500,0.8500
190,6.333,robot_1,283,1.3000,0.9000,1.3500,0.9500
190,6.333,robot_1,313,1.3000,1.0000,1.3500,1.0500
196,6.533,robot_1,192,1.2000,0.6000,1.2500,0.6500
196,6.533,robot_1,222,1.2000,0.7000,1.2500,0.7500
196,6.533,robot_1,252,1.2000,0.8000,1.2500,0.8500
196,6.533,robot_1,282,1.2000,0.9000,1.2500,0.9500
196,6.533,robot_1,312,1.2000,1.0000,1.2500,1.0500
204,6.800,robot_1,191,1.1000,0.6000,1.1500,0.6500
204,6.800,robot_1,221,1.1000,0.7000,1.1500,0.7500
204,6.800,robot_1,251,1.1000,0.8000,1.1500,0.8500
204,6.800,robot_1,281,1.1000,0.9000,1.1500,0.9500
204,6.800,robot_1,311,1.1000,1.0000,1.1500,1.0500
214,7.133,robot_1,190,1.0000,0.6000,1.0500,0.6500
214,7.133,robot_1,220,1.0000,0.7000,1.0500,0.7500
214,7.133,robot_1,250,1.0000,0.8000,1.0500,0.8500
214,7.133,robot_1,280,1.0000,0.9000,1.0500,0.9500
214,7.133,robot_1,310,1.0000,1.0000,1.0500,1.0500
238,7.933,robot_1,189,0.9000,0.6000,0.9500,0.6500
238,7.933,robot_1,219,0.9000,0.7000,0.9500,0.7500
238,7.933,robot_1,249,0.9000,0.8000,0.9500,0.8500
238,7.933,robot_1,279,0.9000,0.9000,0.9500,0.9500
238,7.933,robot_1,309,0.9000,1.0000,0.9500,1.0500
310,10.333,robot_1,159,0.9000,0.5000,0.9500,0.5500
310,10.333,robot_1,160,1.0000,0.5000,1.0500,0.5500
310,10.333,robot_1,161,1.1000,0.5000,1.1500,0.5500
310,10.333,robot_1,162,1.2000,0.5000,1.2500,0.5500
310,10.333,robot_1,163,1.3000,0.5000,1.3500,0.5500
328,10.933,robot_1,164,1.4000,0.5000,1.4500,0.5500
372,12.400,robot_1,158,0.8000,0.5000,0.8500,0.5500
372,12.400,robot_1,188,0.8000,0.6000,0.8500,0.6500
372,12.400,robot_1,218,0.8000,0.7000,0.8500,0.7500
372,12.400,robot_1,248,0.8000,0.8000,0.8500,0.8500
372,12.400,robot_1,278,0.8000,0.9000,0.8500,0.9500
384,12.800,robot_1,157,0.7000,0.5000,0.7500,0.5500
384,12.800,robot_1,187,0.7000,0.6000,0.7500,0.6500
384,12.800,robot_1,217,0.7000,0.7000,0.7500,0.7500
384,12.800,robot_1,247,0.7000,0.8000,0.7500,0.8500
384,12.800,robot_1,277,0.7000,0.9000,0.7500,0.9500
444,14.800,robot_1,165,1.5000,0.5000,1.5500,0.5500
456,15.200,robot_1,166,1.6000,0.5000,1.6500,0.5500
460,15.333,robot_1,167,1.7000,0.5000,1.7500,0.5500
468,15.600,robot_1,168,1.8000,0.5000,1.8500,0.5500
478,15.933,robot_1,169,1.9000,0.5000,1.9500,0.5500
558,18.600,robot_1,170,2.0000,0.5000,2.0500,0.5500
642,21.400,robot_1,171,2.1000,0.5000,2.1500,0.5500
652,21.733,robot_1,172,2.2000,0.5000,2.2500,0.5500
658,21.933,robot_1,173,2.3000,0.5000,2.3500,0.5500
666,22.200,robot_1,174,2.4000,0.5000,2.4500,0.5500
676,22.533,robot_1,175,2.5000,0.5000,2.5500,0.5500
