stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic,entity_a_bump_direction,entity_b_bump_direction,pair_detection_summary
107,40000000,global,1,0,1,obstacle,"('robot_0', 'box4::link::collision')",robot_0,box4::link::collision,2.695488,1.351691,0.147760,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,right,,robot_obstacle_detecting_LEFT
107,320000000,global,2,0,2,obstacle,"('robot_4', 'cylinder0::link::collision')",robot_4,cylinder0::link::collision,-4.070142,4.259845,0.148030,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,front,,robot_obstacle_detecting_CORNER
110,770000000,global,3,0,3,obstacle,"('robot_4', 'cylinder0::link::collision')",robot_4,cylinder0::link::collision,-4.114062,4.071022,0.147604,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,left,,robot_obstacle_detecting_CORNER
145,20000000,global,4,0,4,obstacle,"('robot_0', 'box1::link::collision')",robot_0,box1::link::collision,-2.561498,1.714382,0.147888,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,right,,robot_obstacle_not_detecting
151,900000000,global,5,1,4,robot,"('robot_2', 'robot_4')",robot_2,robot_4,-3.869912,0.667563,0.148520,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,right,left,both_detecting|both_warned
153,530000000,global,6,2,4,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-3.446517,0.782491,0.148184,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,back,front,both_detecting|both_warned
154,370000000,global,7,3,4,robot,"('robot_0', 'robot_4')",robot_0,robot_4,-3.504471,0.404040,0.147842,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,back,back,both_detecting|both_warned
160,810000000,global,8,4,4,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-3.490308,0.356200,0.023158,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,right,front,both_detecting|both_warned
164,470000000,global,9,5,4,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-3.893690,0.166063,0.272537,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,front,front,both_detecting|both_warned
181,610000000,global,10,6,4,robot,"('robot_0', 'robot_4')",robot_0,robot_4,-3.982189,-1.992404,0.023337,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,left,left,both_detecting|both_warned
212,910000000,global,11,7,4,robot,"('robot_0', 'robot_4')",robot_0,robot_4,-1.446197,-3.126954,0.147823,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,left,back,both_detecting|both_warned
217,340000000,global,12,8,4,robot,"('robot_0', 'robot_4')",robot_0,robot_4,-1.391938,-3.648623,0.148180,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,left,back,both_detecting|both_warned
222,210000000,global,13,9,4,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-1.119516,-4.091792,0.147549,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,front,left,both_detecting|both_warned
227,770000000,global,14,10,4,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-1.055904,-4.215558,0.148017,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,right,front,both_detecting|both_warned
236,850000000,global,15,10,5,obstacle,"('robot_3', 'box2::link::collision')",robot_3,box2::link::collision,-0.980169,-2.990678,0.148108,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,front,,robot_obstacle_detecting_RIGHT
239,870000000,global,16,10,6,obstacle,"('robot_3', 'box2::link::collision')",robot_3,box2::link::collision,-1.052799,-2.883460,0.147899,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,right,,robot_obstacle_detecting_RIGHT
