prompt,run,layout,trial,sim_run,coverage_pct,collisions_total,pareto_optimal,sim_dir,coverage_csv,bump_csv
prompt_1,run_1,spread,trial_1,run_20260428_020249,17.0,3,False,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_1/run_1/spread/trial_1/run_20260428_020249,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_1/run_1/spread/trial_1/run_20260428_020249/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_1/run_1/spread/trial_1/run_20260428_020249/bumps_global_020250.csv
prompt_1,run_1,spread,trial_2,run_20260428_100842,9.0,1,False,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_1/run_1/spread/trial_2/run_20260428_100842,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_1/run_1/spread/trial_2/run_20260428_100842/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_1/run_1/spread/trial_2/run_20260428_100842/bumps_global_100843.csv
prompt_1,run_2,spread,trial_1,run_20260428_023220,57.0,26,True,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_1/run_2/spread/trial_1/run_20260428_023220,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_1/run_2/spread/trial_1/run_20260428_023220/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_1/run_2/spread/trial_1/run_20260428_023220/bumps_global_023220.csv
prompt_1,run_2,spread,trial_2,run_20260428_101345,6.0,1,False,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_1/run_2/spread/trial_2/run_20260428_101345,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_1/run_2/spread/trial_2/run_20260428_101345/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_1/run_2/spread/trial_2/run_20260428_101345/bumps_global_101345.csv
prompt_2,run_1,spread,trial_1,run_20260428_020753,52.0,22,True,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_2/run_1/spread/trial_1/run_20260428_020753,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_2/run_1/spread/trial_1/run_20260428_020753/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_2/run_1/spread/trial_1/run_20260428_020753/bumps_global_020753.csv
prompt_2,run_1,spread,trial_2,run_20260428_101847,5.0,0,False,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_2/run_1/spread/trial_2/run_20260428_101847,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_2/run_1/spread/trial_2/run_20260428_101847/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_2/run_1/spread/trial_2/run_20260428_101847/bumps_global_101848.csv
prompt_2,run_2,spread,trial_1,run_20260428_023723,18.0,0,True,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_2/run_2/spread/trial_1/run_20260428_023723,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_2/run_2/spread/trial_1/run_20260428_023723/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_2/run_2/spread/trial_1/run_20260428_023723/bumps_global_023724.csv
prompt_2,run_2,spread,trial_2,run_20260428_102350,5.0,0,False,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_2/run_2/spread/trial_2/run_20260428_102350,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_2/run_2/spread/trial_2/run_20260428_102350/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_2/run_2/spread/trial_2/run_20260428_102350/bumps_global_102350.csv
prompt_3,run_1,spread,trial_1,run_20260428_021256,56.0,45,False,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_3/run_1/spread/trial_1/run_20260428_021256,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_3/run_1/spread/trial_1/run_20260428_021256/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_3/run_1/spread/trial_1/run_20260428_021256/bumps_global_021257.csv
prompt_3,run_1,spread,trial_2,run_20260428_102853,8.0,1,False,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_3/run_1/spread/trial_2/run_20260428_102853,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_3/run_1/spread/trial_2/run_20260428_102853/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_3/run_1/spread/trial_2/run_20260428_102853/bumps_global_102853.csv
prompt_3,run_2,spread,trial_1,run_20260428_024227,51.0,23,False,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_3/run_2/spread/trial_1/run_20260428_024227,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_3/run_2/spread/trial_1/run_20260428_024227/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_3/run_2/spread/trial_1/run_20260428_024227/bumps_global_024227.csv
prompt_3,run_2,spread,trial_2,run_20260428_103355,5.0,0,False,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_3/run_2/spread/trial_2/run_20260428_103355,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_3/run_2/spread/trial_2/run_20260428_103355/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_3/run_2/spread/trial_2/run_20260428_103355/bumps_global_103356.csv
prompt_4,run_1,spread,trial_1,run_20260428_021800,60.0,36,True,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_4/run_1/spread/trial_1/run_20260428_021800,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_4/run_1/spread/trial_1/run_20260428_021800/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_4/run_1/spread/trial_1/run_20260428_021800/bumps_global_021800.csv
prompt_4,run_1,spread,trial_2,run_20260428_103858,5.0,0,False,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_4/run_1/spread/trial_2/run_20260428_103858,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_4/run_1/spread/trial_2/run_20260428_103858/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_4/run_1/spread/trial_2/run_20260428_103858/bumps_global_103858.csv
prompt_4,run_2,spread,trial_1,run_20260428_024731,18.0,0,True,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_4/run_2/spread/trial_1/run_20260428_024731,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_4/run_2/spread/trial_1/run_20260428_024731/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_4/run_2/spread/trial_1/run_20260428_024731/bumps_global_024731.csv
prompt_4,run_2,spread,trial_2,run_20260428_104400,5.0,0,False,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_4/run_2/spread/trial_2/run_20260428_104400,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_4/run_2/spread/trial_2/run_20260428_104400/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/new prompt runs/four_prompt_run/explore/new/prompt_4/run_2/spread/trial_2/run_20260428_104400/bumps_global_104401.csv
