time_s,collisions_total,collisions_robot,collisions_obstacle
0.778,0,0,0
1.278,0,0,0
1.778,0,0,0
2.278,0,0,0
2.778,0,0,0
3.278,0,0,0
3.778,0,0,0
4.278,0,0,0
4.778,0,0,0
5.278,0,0,0
5.778,0,0,0
6.278,0,0,0
6.778,0,0,0
7.278,0,0,0
7.778,0,0,0
8.278,0,0,0
8.778,0,0,0
9.278,0,0,0
9.778,0,0,0
10.278,0,0,0
10.778,0,0,0
11.282,0,0,0
11.778,0,0,0
12.278,0,0,0
12.778,0,0,0
13.278,0,0,0
13.778,0,0,0
14.280,0,0,0
14.778,0,0,0
15.278,0,0,0
15.779,0,0,0
16.282,1,1,0
16.778,1,1,0
17.278,1,1,0
17.778,1,1,0
18.278,1,1,0
18.778,1,1,0
19.278,1,1,0
19.778,1,1,0
20.278,1,1,0
20.778,1,1,0
21.281,1,1,0
21.778,1,1,0
22.278,1,1,0
22.779,1,1,0
23.278,1,1,0
23.780,1,1,0
24.278,1,1,0
24.778,1,1,0
25.279,1,1,0
25.778,1,1,0
26.278,1,1,0
26.778,1,1,0
27.279,1,1,0
27.778,1,1,0
28.278,1,1,0
28.778,1,1,0
29.278,1,1,0
29.778,1,1,0
30.278,1,1,0
30.778,1,1,0
31.278,1,1,0
31.784,1,1,0
32.278,1,1,0
32.778,1,1,0
33.281,1,1,0
33.778,1,1,0
34.282,1,1,0
34.778,1,1,0
35.278,1,1,0
35.782,1,1,0
36.278,1,1,0
36.778,1,1,0
37.278,1,1,0
37.778,1,1,0
38.278,1,1,0
38.783,1,1,0
39.278,1,1,0
39.778,1,1,0
40.278,1,1,0
40.778,1,1,0
41.278,1,1,0
41.779,1,1,0
42.278,1,1,0
42.778,1,1,0
43.278,1,1,0
43.778,1,1,0
44.278,1,1,0
44.778,1,1,0
45.278,1,1,0
45.778,1,1,0
46.278,1,1,0
46.778,1,1,0
47.281,1,1,0
47.778,1,1,0
48.278,1,1,0
48.784,1,1,0
49.278,1,1,0
49.778,1,1,0
50.282,1,1,0
50.778,1,1,0
51.278,1,1,0
51.781,1,1,0
52.282,1,1,0
52.778,1,1,0
53.278,1,1,0
53.779,1,1,0
54.278,2,2,0
54.778,2,2,0
55.278,2,2,0
55.778,2,2,0
56.278,2,2,0
56.778,2,2,0
57.278,2,2,0
57.778,2,2,0
58.278,2,2,0
58.778,2,2,0
59.278,2,2,0
59.778,2,2,0
60.278,2,2,0
60.778,2,2,0
61.278,2,2,0
61.821,2,2,0
62.278,2,2,0
62.778,3,3,0
63.278,4,4,0
63.778,4,4,0
64.278,4,4,0
64.778,5,5,0
65.278,5,5,0
65.778,5,5,0
66.280,5,5,0
66.784,5,5,0
67.278,5,5,0
67.778,5,5,0
68.278,5,5,0
68.778,5,5,0
69.281,5,5,0
69.778,5,5,0
70.282,5,5,0
70.778,5,5,0
71.278,5,5,0
71.781,5,5,0
72.281,5,5,0
72.781,5,5,0
73.278,5,5,0
73.778,5,5,0
74.278,5,5,0
74.778,5,5,0
75.278,5,5,0
75.779,5,5,0
76.278,5,5,0
76.778,5,5,0
77.278,5,5,0
77.778,5,5,0
78.278,5,5,0
78.778,5,5,0
79.278,5,5,0
79.778,5,5,0
80.278,5,5,0
80.778,5,5,0
81.278,5,5,0
81.780,5,5,0
82.278,5,5,0
82.778,5,5,0
83.278,5,5,0
83.778,5,5,0
84.282,5,5,0
84.783,5,5,0
85.278,6,6,0
85.784,6,6,0
86.278,6,6,0
86.778,7,7,0
87.278,7,7,0
87.778,7,7,0
88.278,8,8,0
88.778,8,8,0
89.279,8,8,0
89.778,8,8,0
90.278,8,8,0
90.779,8,8,0
91.278,8,8,0
91.778,8,8,0
92.281,8,8,0
92.778,8,8,0
93.278,8,8,0
93.780,9,9,0
94.285,9,9,0
94.778,9,9,0
95.278,9,9,0
95.778,9,9,0
96.278,9,9,0
96.778,9,9,0
97.278,9,9,0
97.778,9,9,0
98.278,9,9,0
98.778,9,9,0
99.278,9,9,0
99.780,10,10,0
100.280,10,10,0
100.778,10,10,0
101.281,10,10,0
101.778,10,10,0
102.278,10,10,0
102.778,11,11,0
103.278,11,11,0
103.781,11,11,0
104.278,11,11,0
104.779,12,12,0
105.278,12,12,0
105.778,12,12,0
106.278,12,12,0
106.778,12,12,0
107.278,12,12,0
107.780,12,12,0
108.278,12,12,0
108.778,12,12,0
109.278,12,12,0
109.778,12,12,0
110.278,12,12,0
110.778,12,12,0
111.278,12,12,0
111.778,12,12,0
112.278,12,12,0
112.778,12,12,0
113.278,12,12,0
113.778,12,12,0
114.278,12,12,0
114.778,12,12,0
115.278,12,12,0
115.778,12,12,0
116.278,12,12,0
116.778,12,12,0
117.279,12,12,0
117.778,12,12,0
118.278,12,12,0
118.778,12,12,0
119.284,12,12,0
119.778,12,12,0
120.279,12,12,0
120.778,12,12,0
121.278,12,12,0
121.782,12,12,0
122.278,12,12,0
122.778,12,12,0
123.278,12,12,0
123.778,12,12,0
124.278,12,12,0
124.778,12,12,0
125.278,12,12,0
125.778,12,12,0
126.278,12,12,0
126.778,12,12,0
127.278,12,12,0
127.778,12,12,0
128.278,12,12,0
128.778,12,12,0
129.278,12,12,0
129.780,12,12,0
130.278,12,12,0
130.778,12,12,0
131.278,12,12,0
131.778,12,12,0
132.280,12,12,0
132.783,12,12,0
133.278,12,12,0
133.782,12,12,0
134.283,12,12,0
134.782,12,12,0
135.278,12,12,0
135.778,12,12,0
136.278,12,12,0
136.781,12,12,0
137.278,12,12,0
137.778,12,12,0
138.278,12,12,0
138.778,12,12,0
139.278,12,12,0
139.780,12,12,0
140.278,12,12,0
140.778,12,12,0
141.278,12,12,0
141.778,12,12,0
142.278,12,12,0
142.778,12,12,0
143.278,12,12,0
143.778,12,12,0
144.278,12,12,0
144.778,12,12,0
