stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic,entity_a_bump_direction,entity_b_bump_direction,pair_detection_summary
56,630000000,global,1,1,0,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-3.736250,2.911593,0.147968,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,right,back,both_detecting|both_warned
69,180000000,global,2,2,0,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-3.007271,2.501288,0.147900,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,back,right,both_detecting|both_warned
131,140000000,global,3,3,0,robot,"('robot_1', 'robot_4')",robot_1,robot_4,0.260527,0.693761,0.148351,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,left,right,both_detecting|both_warned
134,670000000,global,4,4,0,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-3.908189,-0.089262,0.147880,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,front,back,both_detecting|both_warned
136,150000000,global,5,5,0,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-3.731917,-0.146428,0.147878,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,front,back,both_detecting|both_warned
146,470000000,global,6,6,0,robot,"('robot_1', 'robot_4')",robot_1,robot_4,-0.980671,-1.197957,0.147973,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,right,left,both_detecting|both_warned
177,820000000,global,7,7,0,robot,"('robot_0', 'robot_1')",robot_0,robot_1,-3.403599,-1.510892,0.148049,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,left,front,both_detecting|both_warned
197,670000000,global,8,8,0,robot,"('robot_0', 'robot_1')",robot_0,robot_1,-2.194997,-2.894697,0.148125,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,back,back,both_detecting|both_warned
214,650000000,global,9,9,0,robot,"('robot_1', 'robot_2')",robot_1,robot_2,-1.877070,-3.985166,0.147988,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,front,both_detecting|both_warned
216,350000000,global,10,10,0,robot,"('robot_1', 'robot_2')",robot_1,robot_2,-2.003085,-3.839179,0.147990,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,left,both_detecting|both_warned
219,470000000,global,11,11,0,robot,"('robot_1', 'robot_2')",robot_1,robot_2,-2.419617,-3.786225,0.147998,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,left,front,both_detecting|both_warned
222,10000000,global,12,12,0,robot,"('robot_1', 'robot_2')",robot_1,robot_2,-2.564538,-3.777214,0.147926,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,left,right,both_detecting|both_warned
224,20000000,global,13,12,1,obstacle,"('robot_1', 'cylinder2::link::collision')",robot_1,cylinder2::link::collision,-3.194171,-3.731910,0.118488,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,left,,robot_obstacle_detecting_LEFT
249,890000000,global,14,13,1,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-2.131252,-3.921317,0.148039,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,back,back,both_detecting|both_warned
268,70000000,global,15,14,1,robot,"('robot_1', 'robot_3')",robot_1,robot_3,-4.026389,-0.312647,0.148062,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,back,both_detecting|both_warned
270,650000000,global,16,15,1,robot,"('robot_1', 'robot_3')",robot_1,robot_3,-3.703238,-0.626910,0.148066,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,left,both_detecting|both_warned
274,790000000,global,17,16,1,robot,"('robot_0', 'robot_4')",robot_0,robot_4,-1.847382,-1.044588,0.147978,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,left,left,both_detecting|both_warned
