series,n,coverage_mean_pct,coverage_variance,collisions_total_sum,collisions_total_mean,collisions_total_variance,collisions_per_min_mean,collisions_per_min_variance
Original,30,57.700000,38.355172,747,24.900000,169.334483,4.977898,6.767582
New constraint,10,5.500000,0.722222,0,0.000000,0.000000,0.000000,0.000000
