time_s,collisions
0.000,0
26.543,1
26.543,2
29.588,3
29.588,4
31.092,5
31.093,6
35.552,7
35.553,8
38.066,9
38.067,10
41.039,11
41.040,12
98.461,13
98.462,14
109.972,15
109.972,16
243.864,17
254.540,18
254.541,19
263.035,20
263.036,21
268.051,22
271.064,23
272.087,24
272.088,25
280.540,26
280.540,27
281.549,28
281.550,29
286.616,30
286.616,31
297.540,32
297.541,33
300.571,34
300.572,35
302.068,36
302.069,37
308.081,38
308.082,39
311.067,40
311.067,41
313.567,42
313.568,43
318.117,44
318.118,45
325.564,46
325.565,47
332.051,48
332.052,49
337.524,50
337.524,51
339.062,52
339.063,53
340.065,54
340.065,55
344.066,56
344.067,57
351.081,58
351.082,59
361.088,60
361.089,61
364.084,62
364.084,63
367.100,64
367.101,65
380.130,66
380.131,67
383.585,68
383.586,69
388.051,70
389.117,71
389.117,72
390.055,73
390.056,74
412.111,75
412.112,76
415.274,77
415.274,78
416.763,79
416.764,80
428.776,81
428.777,82
437.594,83
437.595,84
439.123,85
439.124,86
454.093,87
454.093,88
461.113,89
461.113,90
495.613,91
495.614,92
