time_s,collisions
0.000,0
12.583,1
12.584,2
14.604,3
14.605,4
19.959,5
19.959,6
21.028,7
21.029,8
21.915,9
21.916,10
25.119,11
25.119,12
38.702,13
167.735,14
167.735,15
172.727,16
172.728,17
173.709,18
173.710,19
176.627,20
176.628,21
177.157,22
177.158,23
178.156,24
178.156,25
179.135,26
179.135,27
182.718,28
182.719,29
184.686,30
184.687,31
184.687,32
184.693,33
185.663,34
185.664,35
187.211,36
187.212,37
187.658,38
188.162,39
188.163,40
188.646,41
188.647,42
190.105,43
190.106,44
190.112,45
190.152,46
190.153,47
192.187,48
192.188,49
194.144,50
194.145,51
195.112,52
195.113,53
195.638,54
195.639,55
198.142,56
198.143,57
217.189,58
217.190,59
218.170,60
218.171,61
225.118,62
225.119,63
227.664,64
229.686,65
229.687,66
231.155,67
231.156,68
237.675,69
237.676,70
238.163,71
238.163,72
247.124,73
247.125,74
250.145,75
250.145,76
253.639,77
253.639,78
254.171,79
254.171,80
256.669,81
256.670,82
260.184,83
260.185,84
265.825,85
265.826,86
270.025,87
270.026,88
276.905,89
276.906,90
281.074,91
281.076,92
282.636,93
282.636,94
284.560,95
284.560,96
297.828,97
297.828,98
303.155,99
308.738,100
308.739,101
311.850,102
311.852,103
315.472,104
316.485,105
325.048,106
325.049,107
326.107,108
326.109,109
330.208,110
330.210,111
331.493,112
331.494,113
337.415,114
337.415,115
345.160,116
345.160,117
346.699,118
346.700,119
347.673,120
347.673,121
353.132,122
353.133,123
354.132,124
354.132,125
371.208,126
375.205,127
375.206,128
387.197,129
387.198,130
392.208,131
392.208,132
407.420,133
407.421,134
408.575,135
408.576,136
410.311,137
410.312,138
413.569,139
413.571,140
423.308,141
423.309,142
434.658,143
434.658,144
437.212,145
437.213,146
445.722,147
445.722,148
449.904,149
449.905,150
458.190,151
458.190,152
462.743,153
462.744,154
492.294,155
492.295,156
496.211,157
496.212,158
497.185,159
497.186,160
