time_s,collisions
0.000,0
34.537,1
34.537,2
45.463,3
45.464,4
59.034,5
59.035,6
63.000,7
67.501,8
67.501,9
73.115,10
73.116,11
75.001,12
75.002,13
101.999,14
101.999,15
154.561,16
154.562,17
171.552,18
171.552,19
173.616,20
175.048,21
175.049,22
185.544,23
185.545,24
209.081,25
227.045,26
227.046,27
235.030,28
235.031,29
252.616,30
252.617,31
266.689,32
275.037,33
275.037,34
310.563,35
310.564,36
350.072,37
350.073,38
357.038,39
357.039,40
358.584,41
358.585,42
362.113,43
362.114,44
364.567,45
364.568,46
368.073,47
368.074,48
370.104,49
370.105,50
372.601,51
372.602,52
377.089,53
377.090,54
377.603,55
377.604,56
380.118,57
380.119,58
381.700,59
381.701,60
386.175,61
386.176,62
389.754,63
393.694,64
393.695,65
400.754,66
400.754,67
400.755,68
400.756,69
403.218,70
403.219,71
404.253,72
404.254,73
405.766,74
405.767,75
406.749,76
406.749,77
410.728,78
410.729,79
411.897,80
411.898,81
413.618,82
413.618,83
414.175,84
414.175,85
416.325,86
416.326,87
421.028,88
421.029,89
424.638,90
424.639,91
426.227,92
426.228,93
430.335,94
430.337,95
441.600,96
441.601,97
443.877,98
443.878,99
452.602,100
452.603,101
453.358,102
453.359,103
456.416,104
456.417,105
456.418,106
459.263,107
459.263,108
466.039,109
466.041,110
466.042,111
466.043,112
474.272,113
474.273,114
479.632,115
479.632,116
481.105,117
481.105,118
482.574,119
482.575,120
483.110,121
483.111,122
488.110,123
488.111,124
488.112,125
488.112,126
490.079,127
490.080,128
490.085,129
490.086,130
491.590,131
491.590,132
494.588,133
494.589,134
497.121,135
497.122,136
497.610,137
497.611,138
