time_s,collisions_total,collisions_robot,collisions_obstacle
0.000,0,0,0
17.020,1,1,0
17.020,2,2,0
25.062,3,3,0
25.063,4,4,0
29.902,5,5,0
29.902,6,6,0
35.731,7,7,0
35.731,8,8,0
38.426,9,9,0
38.427,10,10,0
39.622,11,11,0
39.622,12,12,0
39.623,13,13,0
39.623,14,14,0
44.916,15,14,1
48.195,16,15,1
48.195,17,16,1
54.457,18,17,1
54.457,19,18,1
62.834,20,19,1
62.834,21,20,1
81.489,22,21,1
81.489,23,22,1
83.981,24,22,2
87.246,25,23,2
87.246,26,24,2
88.865,27,24,3
88.865,28,25,3
88.865,29,26,3
89.826,30,27,3
89.826,31,28,3
90.429,32,28,4
95.127,33,29,4
95.128,34,30,4
100.383,35,31,4
100.383,36,32,4
105.177,37,32,5
106.737,38,33,5
106.737,39,34,5
108.833,40,34,6
113.823,41,35,6
113.823,42,36,6
114.294,43,36,7
119.286,44,37,7
119.286,45,38,7
125.797,46,39,7
125.797,47,40,7
127.989,48,41,7
127.990,49,42,7
130.851,50,43,7
130.851,51,44,7
132.345,52,44,8
137.272,53,44,9
138.805,54,44,10
141.976,55,44,11
142.478,56,44,12
149.202,57,44,13
153.326,58,44,14
156.452,59,44,15
181.355,60,45,15
181.355,61,46,15
182.964,62,46,16
195.969,63,47,16
195.969,64,48,16
197.646,65,48,17
198.203,66,48,18
198.823,67,49,18
198.824,68,50,18
202.896,69,50,19
205.812,70,50,20
207.151,71,51,20
207.152,72,52,20
208.481,73,53,20
208.482,74,54,20
209.900,75,54,21
210.477,76,54,22
211.865,77,54,23
215.211,78,55,23
215.211,79,55,24
215.211,80,56,24
220.297,81,56,25
225.407,82,56,26
228.023,83,57,26
228.023,84,58,26
235.603,85,58,27
255.754,86,58,28
273.117,87,58,29
291.575,88,58,30
294.466,89,59,30
294.466,90,60,30
299.573,91,61,30
299.573,92,62,30
304.591,93,63,30
304.591,94,64,30
306.276,95,65,30
306.277,96,66,30
309.686,97,66,31
312.038,98,67,31
312.038,99,68,31
314.361,100,68,32
316.694,101,68,33
319.650,102,68,34
337.183,103,68,35
340.698,104,69,35
340.698,105,70,35
352.430,106,70,36
353.056,107,70,37
367.388,108,71,37
367.388,109,72,37
371.951,110,72,38
386.381,111,72,39
399.052,112,72,40
401.435,113,72,41
414.748,114,72,42
429.628,115,72,43
439.791,116,72,44
442.634,117,72,45
443.228,118,72,46
476.322,119,72,47
482.849,120,72,48
483.974,121,73,48
483.974,122,74,48
487.037,123,75,48
487.037,124,76,48
494.234,125,76,49
