model,prompt,run,layout,trial,sim_run,coverage_pct,collisions_total,pareto_optimal_merged,sim_dir,coverage_csv,bump_csv
gpt-54,prompt_1,run_1,spread,trial_1,run_20260428_124543,17.0,0,True,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_1/run_1/spread/trial_1/run_20260428_124543,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_1/run_1/spread/trial_1/run_20260428_124543/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_1/run_1/spread/trial_1/run_20260428_124543/bumps_global_124543.csv
gpt-54,prompt_1,run_2,spread,trial_1,run_20260428_125047,33.0,5,True,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_1/run_2/spread/trial_1/run_20260428_125047,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_1/run_2/spread/trial_1/run_20260428_125047/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_1/run_2/spread/trial_1/run_20260428_125047/bumps_global_125048.csv
gpt-54,prompt_2,run_1,spread,trial_1,run_20260428_125550,49.0,32,False,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_2/run_1/spread/trial_1/run_20260428_125550,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_2/run_1/spread/trial_1/run_20260428_125550/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_2/run_1/spread/trial_1/run_20260428_125550/bumps_global_125551.csv
gpt-54,prompt_2,run_2,spread,trial_1,run_20260428_130054,70.0,123,False,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_2/run_2/spread/trial_1/run_20260428_130054,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_2/run_2/spread/trial_1/run_20260428_130054/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_2/run_2/spread/trial_1/run_20260428_130054/bumps_global_130055.csv
gpt-54,prompt_3,run_1,spread,trial_1,run_20260428_122528,17.0,0,True,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_3/run_1/spread/trial_1/run_20260428_122528,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_3/run_1/spread/trial_1/run_20260428_122528/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_3/run_1/spread/trial_1/run_20260428_122528/bumps_global_122529.csv
gpt-54,prompt_3,run_2,spread,trial_1,run_20260428_123032,58.0,36,True,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_3/run_2/spread/trial_1/run_20260428_123032,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_3/run_2/spread/trial_1/run_20260428_123032/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_3/run_2/spread/trial_1/run_20260428_123032/bumps_global_123033.csv
gpt-54,prompt_4,run_1,spread,trial_1,run_20260428_123536,29.0,2,True,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_4/run_1/spread/trial_1/run_20260428_123536,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_4/run_1/spread/trial_1/run_20260428_123536/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_4/run_1/spread/trial_1/run_20260428_123536/bumps_global_123536.csv
gpt-54,prompt_4,run_2,spread,trial_1,run_20260428_124039,22.0,2,False,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_4/run_2/spread/trial_1/run_20260428_124039,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_4/run_2/spread/trial_1/run_20260428_124039/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt-54/prompt_4/run_2/spread/trial_1/run_20260428_124039/bumps_global_124040.csv
gpt_4_1,prompt_1,run_1,spread,trial_1,run_20260428_132645,70.0,103,True,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt_4_1/prompt_1/run_1/spread/trial_1/run_20260428_132645,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt_4_1/prompt_1/run_1/spread/trial_1/run_20260428_132645/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt_4_1/prompt_1/run_1/spread/trial_1/run_20260428_132645/bumps_global_132645.csv
gpt_4_1,prompt_1,run_2,spread,trial_1,run_20260428_133148,26.0,1,True,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt_4_1/prompt_1/run_2/spread/trial_1/run_20260428_133148,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt_4_1/prompt_1/run_2/spread/trial_1/run_20260428_133148/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/last_prompts/gpt_4_1/prompt_1/run_2/spread/trial_1/run_20260428_133148/bumps_global_133149.csv
