stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
129,430000000,global,31,0,31,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.494766,-2.348724,0.147870,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
129,680000000,global,32,0,32,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.195662,-2.886235,0.148077,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
130,990000000,global,33,0,33,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,2.678015,-3.357974,0.272572,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
133,30000000,global,34,0,34,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,2.707668,-3.384029,0.147532,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
133,350000000,global,35,0,35,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.289219,-2.820861,0.147654,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
133,450000000,global,36,0,36,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.453722,-2.156511,0.147788,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
135,610000000,global,37,0,37,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.282662,-2.826382,0.147618,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
139,460000000,global,38,0,38,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.185150,-2.892013,0.148063,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
139,640000000,global,39,0,39,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.492057,-2.312055,0.147870,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
143,430000000,global,40,0,40,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.284867,-2.824543,0.147818,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
143,640000000,global,41,0,41,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.450145,-2.147718,0.147787,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
149,470000000,global,42,0,42,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.490655,-2.299964,0.088739,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
149,530000000,global,43,0,43,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.186373,-2.891355,0.148085,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
153,460000000,global,44,0,44,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.303349,-2.808391,0.255325,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
153,570000000,global,45,0,45,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.446202,-2.138466,0.147834,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
155,700000000,global,46,0,46,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.300477,-2.810991,0.175029,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
159,500000000,global,47,0,47,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.182949,-2.893187,0.030586,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
159,510000000,global,48,0,48,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.485051,-2.264406,0.147805,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
163,330000000,global,49,0,49,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.318463,-2.794117,0.216634,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
165,240000000,global,50,0,50,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.363226,-2.745079,0.147594,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
165,660000000,global,51,0,51,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.432125,-2.108535,0.210488,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
169,490000000,global,52,0,52,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.458937,-2.170123,0.148014,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
173,470000000,global,53,0,53,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.419063,-2.084122,0.147840,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
175,870000000,global,54,1,53,robot,"('robot_1', 'robot_2')",robot_1,robot_2,-1.849470,-2.982460,0.148104,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
176,750000000,global,55,1,54,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.220601,-2.871374,0.147816,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
179,620000000,global,56,1,55,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.468731,-2.198944,0.147819,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
180,320000000,global,57,2,55,robot,"('robot_1', 'robot_2')",robot_1,robot_2,-1.626603,-3.264335,0.147802,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
183,560000000,global,58,2,56,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.412296,-2.072474,0.147839,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
185,290000000,global,59,2,57,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.724650,-2.201103,0.147881,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
188,350000000,global,60,2,58,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.808788,-2.288236,0.241337,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
189,470000000,global,61,2,59,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.478821,-2.235473,0.147820,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
190,880000000,global,62,2,60,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.120917,-2.921638,0.106470,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
193,430000000,global,63,2,61,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.050779,-2.944055,0.147864,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
193,590000000,global,64,2,62,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.401055,-2.054376,0.147839,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
194,470000000,global,65,2,63,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.948856,-2.385596,0.147909,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
