time_s,collisions
0.000,0
31.831,1
31.831,2
32.816,3
32.817,4
34.303,5
41.766,6
41.767,7
43.728,8
43.728,9
47.239,10
47.239,11
58.191,12
58.192,13
93.231,14
96.727,15
114.332,16
326.253,17
326.254,18
329.737,19
329.737,20
364.225,21
364.226,22
387.208,23
387.209,24
391.655,25
391.655,26
395.295,27
395.295,28
400.594,29
400.595,30
407.713,31
409.629,32
409.630,33
418.039,34
418.041,35
423.488,36
423.489,37
427.112,38
427.113,39
428.851,40
428.852,41
434.318,42
434.320,43
442.173,44
442.174,45
443.992,46
443.993,47
446.563,48
446.564,49
449.745,50
449.746,51
456.473,52
456.473,53
468.418,54
468.419,55
469.980,56
469.980,57
471.683,58
472.280,59
472.281,60
474.134,61
474.135,62
479.048,63
479.049,64
481.886,65
481.887,66
498.469,67
498.470,68
