stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
17,100000000,global,1,0,1,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,0.889533,5.000563,0.024153,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
20,740000000,global,2,0,2,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.088918,5.000165,0.147875,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
109,480000000,global,3,0,3,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.593985,2.848353,0.149499,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
113,290000000,global,4,0,4,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.820891,2.695792,0.147419,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
119,350000000,global,5,0,5,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.626782,2.827489,0.148087,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
120,860000000,global,6,0,6,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-0.514488,-1.935836,0.147790,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
123,200000000,global,7,0,7,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.818675,2.697246,0.147573,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
123,410000000,global,8,0,8,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-0.533690,-1.919348,0.147870,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
125,560000000,global,9,0,9,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.784644,2.719688,0.272588,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
129,230000000,global,10,0,10,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.626220,2.828204,0.148087,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
129,360000000,global,11,0,11,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-0.682814,-1.830029,0.147790,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
130,220000000,global,12,0,12,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-0.458434,-1.993485,0.147790,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
133,220000000,global,13,0,13,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.803258,2.707309,0.147570,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
133,380000000,global,14,0,14,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-0.514589,-1.935745,0.147807,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
135,220000000,global,15,0,15,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.842900,2.681331,0.147452,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
139,210000000,global,16,0,16,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-0.665251,-1.837612,0.148086,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
139,570000000,global,17,0,17,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.922477,2.631729,0.148088,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
143,450000000,global,18,0,18,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.750552,2.742437,0.272540,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
149,460000000,global,19,0,19,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.569387,2.864709,0.148112,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
153,350000000,global,20,0,20,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.753293,2.740739,0.147581,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
155,470000000,global,21,0,21,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.772613,2.728199,0.147575,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
155,760000000,global,22,0,22,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,2.300104,0.830055,0.024154,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
159,390000000,global,23,0,23,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.903770,2.641983,0.148079,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
163,370000000,global,24,0,24,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.739596,2.750190,0.147757,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
165,650000000,global,25,0,25,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.724550,2.759905,0.272581,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
169,300000000,global,26,0,26,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.561353,2.870017,0.147974,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
173,120000000,global,27,0,27,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.751277,2.742311,0.147911,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
179,340000000,global,28,0,28,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.540924,2.883383,0.147758,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
