stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic,entity_a_bump_direction,entity_b_bump_direction,pair_detection_summary
7,350000000,global,1,1,0,robot,"('robot_1', 'robot_2')",robot_1,robot_2,-0.817169,-0.463436,0.147771,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,back,right,both_detecting|both_warned
10,230000000,global,2,2,0,robot,"('robot_1', 'robot_2')",robot_1,robot_2,-1.003215,-0.756026,0.147944,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,back,left,both_detecting|both_warned
32,460000000,global,3,2,1,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,0.252240,2.962625,0.147658,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,back,,robot_obstacle_detecting_LEFT
37,540000000,global,4,3,1,robot,"('robot_0', 'robot_2')",robot_0,robot_2,2.480911,-4.241102,0.147924,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,right,back,both_detecting|both_warned
42,190000000,global,5,4,1,robot,"('robot_0', 'robot_2')",robot_0,robot_2,2.102647,-4.149794,0.023061,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,back,right,both_detecting|both_warned
44,400000000,global,6,5,1,robot,"('robot_0', 'robot_2')",robot_0,robot_2,2.251510,-4.095132,0.146751,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,left,right,both_detecting|both_warned
46,540000000,global,7,6,1,robot,"('robot_1', 'robot_3')",robot_1,robot_3,-3.838978,-0.145997,0.147940,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,left,both_detecting|both_warned
49,190000000,global,8,7,1,robot,"('robot_0', 'robot_2')",robot_0,robot_2,1.931583,-4.263316,0.147367,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,left,back,both_detecting|both_warned
50,690000000,global,9,8,1,robot,"('robot_1', 'robot_3')",robot_1,robot_3,-3.745224,-0.033213,0.023074,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,back,both_detecting|both_warned
54,850000000,global,10,9,1,robot,"('robot_1', 'robot_3')",robot_1,robot_3,-3.503383,-0.198909,0.147665,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,right,both_detecting|both_warned
