stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic,entity_a_bump_direction,entity_b_bump_direction,pair_detection_summary
25,790000000,global,1,0,1,obstacle,"('robot_1', 'box0::link::collision')",robot_1,box0::link::collision,3.333136,-3.229883,0.147872,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,back,,robot_obstacle_detecting_LEFT
31,670000000,global,2,0,2,obstacle,"('robot_1', 'box0::link::collision')",robot_1,box0::link::collision,3.296094,-3.195859,0.023014,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,back,,robot_obstacle_detecting_CORNER
34,550000000,global,3,0,3,obstacle,"('robot_1', 'box0::link::collision')",robot_1,box0::link::collision,3.295985,-3.195995,0.023092,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,back,,robot_obstacle_detecting_CORNER
40,900000000,global,4,0,4,obstacle,"('robot_1', 'box0::link::collision')",robot_1,box0::link::collision,2.904058,-3.645900,0.147902,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,left,,robot_obstacle_not_detecting
42,700000000,global,5,0,5,obstacle,"('robot_1', 'box0::link::collision')",robot_1,box0::link::collision,2.904058,-3.645900,0.147790,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,left,,robot_obstacle_detecting_LEFT
64,890000000,global,6,1,5,robot,"('robot_0', 'robot_4')",robot_0,robot_4,-1.097824,-1.794273,0.147647,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,left,left,both_detecting|both_warned
80,450000000,global,7,1,6,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-1.006802,-2.951694,0.148344,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,back,,robot_obstacle_detecting_RIGHT
82,640000000,global,8,1,7,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-0.302847,-2.382237,0.147642,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,front,,robot_obstacle_detecting_LEFT
84,320000000,global,9,2,7,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-0.945862,-2.344173,0.148032,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,right,back,both_detecting|both_warned
89,260000000,global,10,2,8,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-0.853647,-2.750577,0.147816,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,back,,robot_obstacle_detecting_CORNER
97,80000000,global,11,2,9,obstacle,"('robot_1', 'box0::link::collision')",robot_1,box0::link::collision,2.904058,-3.645900,0.147917,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,,robot_obstacle_not_detecting
101,80000000,global,12,2,10,obstacle,"('robot_1', 'box0::link::collision')",robot_1,box0::link::collision,3.079891,-3.445148,0.147736,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,,robot_obstacle_not_detecting
145,740000000,global,13,3,10,robot,"('robot_0', 'robot_3')",robot_0,robot_3,-1.863145,-0.996383,0.024413,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,right,back,both_detecting|both_warned
178,820000000,global,14,3,11,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,-3.442703,-3.260903,0.053240,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,back,,robot_obstacle_detecting_LEFT
182,240000000,global,15,3,12,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,-3.837375,-3.081436,0.148001,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,back,,robot_obstacle_not_detecting
184,230000000,global,16,3,13,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,-4.032945,-3.081175,0.147895,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,left,,robot_obstacle_detecting_CORNER
