stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
17,130000000,global,1,0,1,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,0.886439,5.000857,0.149172,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
20,850000000,global,2,0,2,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.097203,5.000048,0.272742,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
22,730000000,global,3,0,3,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.023717,5.000751,0.147563,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
59,700000000,global,4,1,3,robot,"('robot_0', 'robot_4')",robot_0,robot_4,1.086929,-1.786036,0.024013,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
62,390000000,global,5,2,3,robot,"('robot_0', 'robot_4')",robot_0,robot_4,1.131967,-1.765584,0.023984,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
63,660000000,global,6,3,3,robot,"('robot_0', 'robot_4')",robot_0,robot_4,1.067293,-1.799611,0.148025,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
66,840000000,global,7,4,3,robot,"('robot_0', 'robot_4')",robot_0,robot_4,1.056791,-1.743426,0.147922,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
97,550000000,global,8,5,3,robot,"('robot_1', 'robot_2')",robot_1,robot_2,-0.172457,3.086763,0.106784,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
101,840000000,global,9,5,4,obstacle,"('robot_4', 'cylinder2::link::collision')",robot_4,cylinder2::link::collision,3.584870,-1.518603,0.055244,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
107,0,global,10,5,5,obstacle,"('robot_2', 'north_wall::link::collision')",robot_2,north_wall::link::collision,-0.398789,5.000025,0.272434,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
110,870000000,global,11,5,6,obstacle,"('robot_2', 'north_wall::link::collision')",robot_2,north_wall::link::collision,-0.620005,5.000300,0.147700,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
112,920000000,global,12,5,7,obstacle,"('robot_2', 'north_wall::link::collision')",robot_2,north_wall::link::collision,-0.657811,5.000108,0.272585,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
156,980000000,global,13,5,8,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.289333,-1.926662,0.148037,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
158,180000000,global,14,5,9,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.105196,-1.819911,0.148037,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
160,960000000,global,15,5,10,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.175066,-1.850130,0.196002,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
166,700000000,global,16,5,11,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.306263,-1.941710,0.148037,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
170,870000000,global,17,5,12,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.149199,-1.837681,0.147736,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
176,780000000,global,18,5,13,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.287570,-1.925162,0.147920,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
181,80000000,global,19,5,14,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-1.126191,-1.827875,0.147736,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
