time_s,collisions
0.000,0
14.170,1
14.170,2
19.530,3
20.072,4
20.073,5
22.519,6
22.519,7
31.810,8
43.740,9
43.740,10
46.320,11
46.321,12
50.653,13
50.654,14
59.069,15
71.036,16
72.077,17
80.614,18
80.615,19
94.574,20
94.574,21
95.792,22
95.793,23
98.797,24
98.798,25
100.079,26
107.581,27
107.582,28
111.100,29
111.101,30
122.678,31
124.301,32
126.782,33
131.198,34
151.585,35
151.586,36
159.572,37
159.573,38
162.083,39
162.084,40
190.606,41
190.607,42
193.228,43
193.229,44
195.079,45
195.079,46
207.802,47
207.802,48
229.260,49
229.260,50
230.171,51
234.609,52
234.609,53
239.613,54
243.805,55
243.805,56
247.111,57
247.111,58
253.216,59
253.217,60
279.616,61
279.616,62
332.244,63
332.245,64
338.653,65
338.653,66
354.144,67
354.145,68
356.642,69
356.643,70
362.659,71
362.660,72
363.195,73
363.195,74
366.310,75
366.310,76
371.694,77
371.695,78
372.262,79
372.262,80
374.258,81
374.259,82
387.702,83
387.703,84
391.190,85
391.191,86
394.177,87
394.177,88
396.197,89
396.197,90
399.655,91
399.655,92
401.257,93
401.258,94
408.660,95
408.661,96
409.276,97
409.277,98
409.679,99
409.679,100
425.651,101
425.651,102
439.230,103
439.231,104
441.809,105
441.809,106
445.168,107
445.168,108
452.147,109
452.148,110
456.689,111
456.690,112
480.675,113
480.675,114
484.680,115
484.680,116
486.784,117
486.785,118
489.778,119
489.778,120
491.174,121
491.175,122
