stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
158,220000000,global,32,5,27,obstacle,"('robot_1', 'west_wall::link::collision')",robot_1,west_wall::link::collision,-5.000185,-0.409541,0.147746,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
158,340000000,global,33,5,28,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.563467,-1.838127,0.184958,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
160,340000000,global,34,5,29,obstacle,"('robot_1', 'west_wall::link::collision')",robot_1,west_wall::link::collision,-5.000029,-0.436079,0.147763,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
161,910000000,global,35,5,30,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.616395,-1.862458,0.148083,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
164,560000000,global,36,5,31,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.592216,-1.959514,0.130613,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
165,820000000,global,37,5,32,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.498212,-1.950996,0.170235,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
168,410000000,global,38,5,33,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.562512,-1.831568,0.147747,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
171,890000000,global,39,5,34,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.604705,-1.869286,0.148081,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
174,400000000,global,40,5,35,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.599636,-1.981082,0.147910,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
175,810000000,global,41,5,36,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.475895,-1.973789,0.167015,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
178,300000000,global,42,5,37,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.560306,-1.814513,0.147747,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
181,880000000,global,43,5,38,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.595154,-1.875137,0.148082,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
184,440000000,global,44,5,39,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.596352,-1.971799,0.147909,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
185,810000000,global,45,5,40,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.465588,-1.985199,0.198929,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
188,420000000,global,46,5,41,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.558784,-1.800429,0.147747,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
191,890000000,global,47,5,42,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.563549,-1.896368,0.148082,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
194,330000000,global,48,5,43,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.596240,-1.971476,0.147909,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
195,810000000,global,49,5,44,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.451001,-2.002434,0.245542,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
