stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
172,0,global,44,0,44,obstacle,"('robot_3', 'cylinder2::link::collision')",robot_3,cylinder2::link::collision,3.557864,-1.663927,0.147759,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
175,800000000,global,45,0,45,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.118794,-2.922462,0.222046,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
175,960000000,global,46,0,46,obstacle,"('robot_3', 'cylinder2::link::collision')",robot_3,cylinder2::link::collision,3.594617,-1.487589,0.147901,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
181,840000000,global,47,0,47,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.011767,-2.952483,0.148083,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
181,880000000,global,48,0,48,obstacle,"('robot_3', 'cylinder2::link::collision')",robot_3,cylinder2::link::collision,3.557086,-1.673885,0.147760,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
185,800000000,global,49,0,49,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.130294,-2.917887,0.176650,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
185,870000000,global,50,0,50,obstacle,"('robot_3', 'cylinder2::link::collision')",robot_3,cylinder2::link::collision,3.604404,-1.460407,0.147901,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
191,910000000,global,51,0,51,obstacle,"('robot_3', 'cylinder2::link::collision')",robot_3,cylinder2::link::collision,3.568248,-1.588029,0.147760,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
192,60000000,global,52,0,52,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.061803,-2.941164,0.148086,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
195,860000000,global,53,0,53,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-1.137593,-2.914836,0.207405,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
195,890000000,global,54,0,54,obstacle,"('robot_3', 'cylinder2::link::collision')",robot_3,cylinder2::link::collision,3.607449,-1.452570,0.147901,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
