bump_total,stamp_sec,stamp_nsec,bump_type,key,entity_a,entity_b,robot,frame_index_oldest_first,frame_wall_time,frame_stamp_sec,frame_stamp_nsec,encoding,height,width,npy_path,pgm_path
1,25,220000000,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,robot_1,0,1783680591.177391,23,0,32FC1,360,640,collision_depth_frames/bump_0001_robot_1_east_wall_link_collision/robot_1/frame_00_23_0.npy,collision_depth_frames/bump_0001_robot_1_east_wall_link_collision/robot_1/frame_00_23_0.pgm
1,25,220000000,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,robot_1,1,1783680591.678772,23,500000000,32FC1,360,640,collision_depth_frames/bump_0001_robot_1_east_wall_link_collision/robot_1/frame_01_23_500000000.npy,collision_depth_frames/bump_0001_robot_1_east_wall_link_collision/robot_1/frame_01_23_500000000.pgm
1,25,220000000,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,robot_1,2,1783680592.176538,24,0,32FC1,360,640,collision_depth_frames/bump_0001_robot_1_east_wall_link_collision/robot_1/frame_02_24_0.npy,collision_depth_frames/bump_0001_robot_1_east_wall_link_collision/robot_1/frame_02_24_0.pgm
1,25,220000000,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,robot_1,3,1783680592.676254,24,500000000,32FC1,360,640,collision_depth_frames/bump_0001_robot_1_east_wall_link_collision/robot_1/frame_03_24_500000000.npy,collision_depth_frames/bump_0001_robot_1_east_wall_link_collision/robot_1/frame_03_24_500000000.pgm
1,25,220000000,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,robot_1,4,1783680593.189687,25,0,32FC1,360,640,collision_depth_frames/bump_0001_robot_1_east_wall_link_collision/robot_1/frame_04_25_0.npy,collision_depth_frames/bump_0001_robot_1_east_wall_link_collision/robot_1/frame_04_25_0.pgm
2,27,980000000,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,robot_1,0,1783680593.676029,25,500000000,32FC1,360,640,collision_depth_frames/bump_0002_robot_1_east_wall_link_collision/robot_1/frame_00_25_500000000.npy,collision_depth_frames/bump_0002_robot_1_east_wall_link_collision/robot_1/frame_00_25_500000000.pgm
2,27,980000000,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,robot_1,1,1783680594.204547,26,0,32FC1,360,640,collision_depth_frames/bump_0002_robot_1_east_wall_link_collision/robot_1/frame_01_26_0.npy,collision_depth_frames/bump_0002_robot_1_east_wall_link_collision/robot_1/frame_01_26_0.pgm
2,27,980000000,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,robot_1,2,1783680594.688146,26,500000000,32FC1,360,640,collision_depth_frames/bump_0002_robot_1_east_wall_link_collision/robot_1/frame_02_26_500000000.npy,collision_depth_frames/bump_0002_robot_1_east_wall_link_collision/robot_1/frame_02_26_500000000.pgm
2,27,980000000,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,robot_1,3,1783680595.173308,27,0,32FC1,360,640,collision_depth_frames/bump_0002_robot_1_east_wall_link_collision/robot_1/frame_03_27_0.npy,collision_depth_frames/bump_0002_robot_1_east_wall_link_collision/robot_1/frame_03_27_0.pgm
2,27,980000000,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,robot_1,4,1783680595.675159,27,500000000,32FC1,360,640,collision_depth_frames/bump_0002_robot_1_east_wall_link_collision/robot_1/frame_04_27_500000000.npy,collision_depth_frames/bump_0002_robot_1_east_wall_link_collision/robot_1/frame_04_27_500000000.pgm
3,133,60000000,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,robot_1,0,1783680699.174079,131,0,32FC1,360,640,collision_depth_frames/bump_0003_robot_1_box4_link_collision/robot_1/frame_00_131_0.npy,collision_depth_frames/bump_0003_robot_1_box4_link_collision/robot_1/frame_00_131_0.pgm
3,133,60000000,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,robot_1,1,1783680699.665353,131,500000000,32FC1,360,640,collision_depth_frames/bump_0003_robot_1_box4_link_collision/robot_1/frame_01_131_500000000.npy,collision_depth_frames/bump_0003_robot_1_box4_link_collision/robot_1/frame_01_131_500000000.pgm
3,133,60000000,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,robot_1,2,1783680700.159760,132,0,32FC1,360,640,collision_depth_frames/bump_0003_robot_1_box4_link_collision/robot_1/frame_02_132_0.npy,collision_depth_frames/bump_0003_robot_1_box4_link_collision/robot_1/frame_02_132_0.pgm
3,133,60000000,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,robot_1,3,1783680700.666544,132,500000000,32FC1,360,640,collision_depth_frames/bump_0003_robot_1_box4_link_collision/robot_1/frame_03_132_500000000.npy,collision_depth_frames/bump_0003_robot_1_box4_link_collision/robot_1/frame_03_132_500000000.pgm
3,133,60000000,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,robot_1,4,1783680701.160280,133,0,32FC1,360,640,collision_depth_frames/bump_0003_robot_1_box4_link_collision/robot_1/frame_04_133_0.npy,collision_depth_frames/bump_0003_robot_1_box4_link_collision/robot_1/frame_04_133_0.pgm
4,261,130000000,robot,"('robot_3', 'robot_4')",robot_3,robot_4,robot_3,0,1783680827.154037,259,0,32FC1,360,640,collision_depth_frames/bump_0004_robot_3_robot_4/robot_3/frame_00_259_0.npy,collision_depth_frames/bump_0004_robot_3_robot_4/robot_3/frame_00_259_0.pgm
4,261,130000000,robot,"('robot_3', 'robot_4')",robot_3,robot_4,robot_3,1,1783680827.657271,259,500000000,32FC1,360,640,collision_depth_frames/bump_0004_robot_3_robot_4/robot_3/frame_01_259_500000000.npy,collision_depth_frames/bump_0004_robot_3_robot_4/robot_3/frame_01_259_500000000.pgm
4,261,130000000,robot,"('robot_3', 'robot_4')",robot_3,robot_4,robot_3,2,1783680828.147472,260,0,32FC1,360,640,collision_depth_frames/bump_0004_robot_3_robot_4/robot_3/frame_02_260_0.npy,collision_depth_frames/bump_0004_robot_3_robot_4/robot_3/frame_02_260_0.pgm
