stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic,entity_a_bump_direction,entity_b_bump_direction,pair_detection_summary,depth_snapshot_dir
47,800000000,global,1,0,1,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,3.907023,-0.441472,0.147968,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,,robot_obstacle_detecting_CORNER,collision_depth_frames/bump_0001_robot_1_box4_link_collision
210,360000000,global,2,1,1,robot,"('robot_0', 'robot_1')",robot_0,robot_1,4.005029,-1.276356,0.147751,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,back,right,both_detecting|both_warned,collision_depth_frames/bump_0002_robot_0_robot_1
211,180000000,global,3,1,2,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,3.781891,-0.817821,0.147831,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,,robot_obstacle_detecting_CORNER,collision_depth_frames/bump_0003_robot_1_box4_link_collision
225,60000000,global,4,1,3,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,3.871986,-0.546001,0.147830,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,,robot_obstacle_detecting_CORNER,collision_depth_frames/bump_0004_robot_1_box4_link_collision
279,220000000,global,5,2,3,robot,"('robot_0', 'robot_1')",robot_0,robot_1,3.984297,-1.440397,0.147510,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,right,left,both_detecting|both_warned,collision_depth_frames/bump_0005_robot_0_robot_1
280,470000000,global,6,2,4,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,3.719177,-1.010534,0.272580,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,left,,robot_obstacle_detecting_LEFT,collision_depth_frames/bump_0006_robot_1_box4_link_collision
282,440000000,global,7,2,5,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,3.719218,-1.010695,0.272797,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,left,,robot_obstacle_detecting_CORNER,collision_depth_frames/bump_0007_robot_1_box4_link_collision
297,600000000,global,8,2,6,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,3.870311,-0.551840,0.148193,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,left,,robot_obstacle_detecting_CORNER,collision_depth_frames/bump_0008_robot_1_box4_link_collision
534,350000000,global,9,2,7,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,3.790517,-0.794683,0.147726,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,,robot_obstacle_detecting_CORNER,collision_depth_frames/bump_0009_robot_1_box4_link_collision
552,470000000,global,10,2,8,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,3.776239,-0.837341,0.147644,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,,robot_obstacle_detecting_CORNER,collision_depth_frames/bump_0010_robot_1_box4_link_collision
571,150000000,global,11,2,9,obstacle,"('robot_1', 'box4::link::collision')",robot_1,box4::link::collision,3.942937,-0.332291,0.147615,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,,robot_obstacle_detecting_CORNER,collision_depth_frames/bump_0011_robot_1_box4_link_collision
574,500000000,global,12,2,10,obstacle,"('robot_3', 'box2::link::collision')",robot_3,box2::link::collision,0.663274,-3.827787,0.147228,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,back,,robot_obstacle_detecting_CORNER,collision_depth_frames/bump_0012_robot_3_box2_link_collision
580,720000000,global,13,2,11,obstacle,"('robot_3', 'box2::link::collision')",robot_3,box2::link::collision,0.626681,-3.774483,0.148488,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,back,,robot_obstacle_not_detecting,collision_depth_frames/bump_0013_robot_3_box2_link_collision
