time_s,collisions
0.000,0
45.233,1
48.030,2
49.706,3
61.670,4
153.670,5
153.672,6
167.416,7
167.418,8
172.285,9
172.286,10
174.652,11
174.653,12
178.686,13
178.687,14
180.636,15
180.637,16
182.126,17
182.127,18
185.125,19
185.125,20
212.828,21
214.765,22
214.765,23
216.665,24
220.227,25
220.726,26
220.726,27
224.137,28
224.138,29
226.688,30
232.703,31
232.704,32
235.660,33
235.661,34
235.667,35
235.668,36
236.139,37
236.140,38
239.725,39
239.726,40
251.640,41
251.641,42
254.947,43
254.949,44
259.170,45
264.985,46
264.986,47
286.984,48
286.986,49
291.004,50
291.005,51
296.711,52
296.711,53
297.216,54
297.218,55
306.723,56
306.724,57
307.783,58
307.785,59
311.438,60
311.440,61
312.878,62
312.879,63
321.479,64
321.480,65
325.444,66
325.445,67
330.219,68
330.219,69
331.211,70
331.211,71
333.914,72
333.914,73
333.915,74
334.418,75
335.530,76
336.621,77
336.622,78
339.256,79
339.258,80
339.260,81
339.937,82
341.620,83
341.621,84
342.200,85
342.202,86
343.276,87
343.277,88
348.227,89
348.228,90
349.923,91
349.924,92
352.984,93
352.985,94
355.212,95
357.756,96
357.757,97
362.633,98
362.634,99
367.406,100
367.407,101
367.925,102
367.926,103
370.413,104
370.413,105
378.796,106
378.797,107
383.689,108
383.690,109
391.185,110
391.186,111
392.139,112
392.140,113
393.652,114
393.653,115
395.697,116
395.698,117
401.704,118
401.705,119
431.651,120
431.652,121
468.191,122
468.192,123
473.445,124
473.446,125
476.237,126
476.238,127
478.222,128
478.222,129
479.213,130
479.214,131
481.192,132
481.192,133
487.827,134
487.828,135
491.796,136
491.797,137
496.057,138
496.058,139
