time_s,collisions
0.000,0
38.272,1
38.273,2
43.757,3
43.758,4
45.769,5
45.771,6
47.144,7
47.145,8
50.136,9
50.137,10
52.094,11
52.096,12
65.987,13
65.988,14
66.990,15
66.991,16
300.239,17
300.240,18
302.135,19
302.136,20
312.350,21
312.919,22
312.919,23
317.884,24
318.106,25
318.107,26
320.366,27
320.367,28
320.479,29
321.501,30
321.501,31
321.537,32
323.085,33
323.086,34
323.370,35
327.578,36
327.579,37
352.157,38
352.158,39
358.843,40
358.845,41
364.053,42
364.054,43
371.613,44
371.614,45
374.102,46
374.103,47
376.590,48
376.591,49
378.116,50
378.117,51
383.286,52
383.287,53
392.596,54
392.597,55
394.086,56
394.087,57
398.606,58
398.607,59
