model,prompt,run,layout,trial,sim_run,coverage_pct,collisions_total,pareto_optimal,pareto_optimal_merged,sim_dir,coverage_csv,bump_csv
gpt-4.1,prompt_4,run_1,.,trial_1,run_20260428_204628,5.0,0,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_1/trial_1/run_20260428_204628,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_1/trial_1/run_20260428_204628/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_1/trial_1/run_20260428_204628/bumps_global_204629.csv
gpt-4.1,prompt_4,run_2,.,trial_1,run_20260428_224305,5.0,0,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_2/trial_1/run_20260428_224305,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_2/trial_1/run_20260428_224305/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_2/trial_1/run_20260428_224305/bumps_global_224306.csv
gpt-4.1,prompt_4,run_3,.,trial_1,run_20260428_224809,49.0,26,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_3/trial_1/run_20260428_224809,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_3/trial_1/run_20260428_224809/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_3/trial_1/run_20260428_224809/bumps_global_224809.csv
gpt-4.1,prompt_4,run_4,.,trial_1,run_20260428_232817,22.0,3,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_4/trial_1/run_20260428_232817,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_4/trial_1/run_20260428_232817/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_4/trial_1/run_20260428_232817/bumps_global_232817.csv
gpt-4.1,prompt_4,run_5,.,trial_1,run_20260428_233320,26.0,0,True,True,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_5/trial_1/run_20260428_233320,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_5/trial_1/run_20260428_233320/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-4.1/prompt_4/run_5/trial_1/run_20260428_233320/bumps_global_233321.csv
gpt-5.4,prompt_1,run_1,.,trial_1,run_20260428_192854,54.0,45,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_1/trial_1/run_20260428_192854,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_1/trial_1/run_20260428_192854/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_1/trial_1/run_20260428_192854/bumps_global_192855.csv
gpt-5.4,prompt_1,run_2,.,trial_1,run_20260428_212826,66.0,203,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_2/trial_1/run_20260428_212826,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_2/trial_1/run_20260428_212826/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_2/trial_1/run_20260428_212826/bumps_global_212826.csv
gpt-5.4,prompt_1,run_3,.,trial_1,run_20260428_213329,61.0,130,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_3/trial_1/run_20260428_213329,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_3/trial_1/run_20260428_213329/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_3/trial_1/run_20260428_213329/bumps_global_213330.csv
gpt-5.4,prompt_1,run_4,.,trial_1,run_20260428_233824,54.0,50,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_4/trial_1/run_20260428_233824,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_4/trial_1/run_20260428_233824/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_4/trial_1/run_20260428_233824/bumps_global_233824.csv
gpt-5.4,prompt_1,run_5,.,trial_1,run_20260428_234328,59.0,12,True,True,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_1/run_20260428_234328,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_1/run_20260428_234328/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_1/run_20260428_234328/bumps_global_234328.csv
