time_s,collisions_total,collisions_robot,collisions_obstacle
0.000,0,0,0
21.607,1,1,0
21.608,2,2,0
22.312,3,3,0
33.548,4,4,0
33.548,5,5,0
35.624,6,6,0
35.624,7,7,0
44.443,8,7,1
45.686,9,7,2
46.321,10,8,2
46.321,11,9,2
47.690,12,9,3
49.202,13,9,4
55.653,14,9,5
58.455,15,9,6
106.459,16,10,6
106.459,17,11,6
107.700,18,12,6
107.700,19,13,6
110.545,20,13,7
132.474,21,13,8
134.993,22,13,9
140.488,23,13,10
140.510,24,14,10
140.511,25,15,10
142.574,26,15,11
144.960,27,15,12
146.125,28,15,13
146.607,29,15,14
151.070,30,15,15
153.066,31,15,16
158.056,32,16,16
158.057,33,17,16
158.650,34,18,16
158.650,35,19,16
161.529,36,20,16
161.529,37,21,16
162.075,38,21,17
162.519,39,21,18
163.982,40,21,19
164.592,41,21,20
165.071,42,22,20
165.071,43,23,20
169.521,44,24,20
169.521,45,25,20
172.095,46,26,20
172.096,47,27,20
177.573,48,28,20
177.573,49,29,20
177.605,50,30,20
177.606,51,31,20
178.553,52,32,20
178.554,53,33,20
181.598,54,34,20
181.605,55,35,20
182.559,56,36,20
182.560,57,37,20
183.100,58,38,20
183.101,59,39,20
183.564,60,40,20
183.564,61,41,20
189.659,62,42,20
189.659,63,43,20
192.132,64,44,20
192.133,65,45,20
196.117,66,46,20
196.117,67,47,20
198.556,68,48,20
198.556,69,48,21
198.557,70,49,21
199.487,71,49,22
201.129,72,49,23
202.007,73,50,23
202.008,74,51,23
202.711,75,52,23
202.712,76,53,23
203.539,77,53,24
204.524,78,54,24
204.524,79,55,24
206.020,80,56,24
206.020,81,57,24
207.009,82,57,25
207.573,83,57,26
210.040,84,58,26
210.040,85,59,26
210.040,86,60,26
210.041,87,60,27
210.041,88,61,27
211.569,89,62,27
211.570,90,63,27
211.570,91,63,28
212.041,92,63,29
212.636,93,64,29
212.637,94,65,29
213.626,95,65,30
214.075,96,66,30
216.642,97,67,30
216.642,98,68,30
216.643,99,68,31
217.088,100,69,31
217.090,101,70,31
218.161,102,70,32
218.196,103,71,32
