wall_time,source,target,decision,skip_reason,warning_zone,distance_m,confidence,raw_detection,raw_message
1783687856.957609,robot_4,robot_0,skipped,distance_above_warning_threshold,LEFT,1.229498,,global_pose,"bearing_deg=56.311,zone_reason=side_sector"
1783687857.058208,robot_4,robot_0,skipped,distance_above_warning_threshold,LEFT,1.186229,,global_pose,"bearing_deg=57.341,zone_reason=side_sector"
1783687857.157860,robot_4,robot_0,skipped,distance_above_warning_threshold,LEFT,1.143371,,global_pose,"bearing_deg=58.449,zone_reason=side_sector"
1783687857.256990,robot_4,robot_0,skipped,distance_above_warning_threshold,LEFT,1.109414,,global_pose,"bearing_deg=59.396,zone_reason=side_sector"
1783687857.358320,robot_4,robot_0,skipped,distance_above_warning_threshold,LEFT,1.059093,,global_pose,"bearing_deg=60.930,zone_reason=side_sector"
1783687857.458355,robot_4,robot_0,skipped,distance_above_warning_threshold,LEFT,1.017791,,global_pose,"bearing_deg=62.324,zone_reason=side_sector"
1783687857.559562,robot_4,robot_0,sent,,LEFT,0.977142,,global_pose,"bearing_deg=63.835,zone_reason=side_sector"
1783687857.658067,robot_4,robot_0,sent,,LEFT,0.950547,,global_pose,"bearing_deg=65.815,zone_reason=side_sector"
1783687857.757143,robot_4,robot_0,sent,,LEFT,0.948666,,global_pose,"bearing_deg=68.210,zone_reason=side_sector"
1783687857.857926,robot_4,robot_0,sent,,LEFT,0.952974,,global_pose,"bearing_deg=72.886,zone_reason=side_sector"
1783687857.958399,robot_4,robot_0,sent,,LEFT,0.957342,,global_pose,"bearing_deg=76.931,zone_reason=side_sector"
1783687858.058386,robot_4,robot_0,sent,,LEFT,0.962503,,global_pose,"bearing_deg=81.009,zone_reason=side_sector"
1783687858.158785,robot_4,robot_0,sent,,LEFT,0.968470,,global_pose,"bearing_deg=85.114,zone_reason=side_sector"
1783687858.258032,robot_4,robot_0,sent,,LEFT,0.975245,,global_pose,"bearing_deg=89.241,zone_reason=side_sector"
1783687858.357329,robot_4,robot_0,sent,,LEFT,0.982823,,global_pose,"bearing_deg=93.387,zone_reason=side_sector"
1783687858.458154,robot_4,robot_0,sent,,LEFT,0.991193,,global_pose,"bearing_deg=97.546,zone_reason=side_sector"
1783687858.557434,robot_4,robot_0,skipped,distance_above_warning_threshold,LEFT,1.000339,,global_pose,"bearing_deg=101.712,zone_reason=side_sector"
1783687858.658071,robot_4,robot_0,skipped,distance_above_warning_threshold,LEFT,1.010240,,global_pose,"bearing_deg=105.883,zone_reason=side_sector"
