wall_time,robot,reasons,raw_zone,effective_zone,peer_warning_zone,peer_warning_age_s,front_distance_m,distance_age_s,cbf_safety_distance_m,cbf_alpha,requested_linear_x,requested_angular_z,filtered_linear_x,filtered_angular_z
1783687761.062425,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,1.428721,0.406085,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687761.562454,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,1.773554,0.411263,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687762.062495,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,2.266652,0.406984,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687763.862406,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side,CLEAR,RIGHT,RIGHT,0.005316,2.412562,0.114748,0.600000,1.200000,0.280000,0.000000,0.210000,0.650000
1783687763.962420,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side,CLEAR,RIGHT,RIGHT,0.004662,2.412562,0.214750,0.600000,1.200000,0.160000,0.250000,0.120000,0.650000
1783687764.062496,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side,CLEAR,RIGHT,RIGHT,0.005476,2.412562,0.314848,0.600000,1.200000,0.160000,0.250000,0.120000,0.650000
1783687764.162572,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side,CLEAR,RIGHT,RIGHT,0.005141,2.708019,0.001623,0.600000,1.200000,0.160000,0.250000,0.120000,0.650000
1783687764.262380,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side,CLEAR,RIGHT,RIGHT,0.005058,2.708019,0.101581,0.600000,1.200000,0.160000,0.250000,0.120000,0.650000
1783687764.362513,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side,CLEAR,RIGHT,RIGHT,0.005960,2.708019,0.201658,0.600000,1.200000,0.160000,0.250000,0.120000,0.650000
1783687764.462543,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side,CLEAR,RIGHT,RIGHT,0.005342,2.708019,0.301697,0.600000,1.200000,0.160000,0.250000,0.120000,0.650000
1783687764.562628,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side,CLEAR,RIGHT,RIGHT,0.105432,2.708019,0.401775,0.600000,1.200000,0.160000,0.250000,0.120000,0.650000
1783687764.662652,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side,CLEAR,RIGHT,RIGHT,0.205457,1.668061,0.013555,0.600000,1.200000,0.160000,0.250000,0.120000,0.650000
1783687764.762604,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side,CLEAR,RIGHT,RIGHT,0.305400,1.668061,0.113484,0.600000,1.200000,0.160000,0.250000,0.120000,0.650000
1783687764.862759,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side,CLEAR,RIGHT,RIGHT,0.405558,1.668061,0.213635,0.600000,1.200000,0.160000,0.250000,0.120000,0.650000
1783687764.962696,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side,CLEAR,RIGHT,RIGHT,0.505484,1.668061,0.313534,0.600000,1.200000,0.160000,0.250000,0.120000,0.650000
1783687765.562538,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,1.105331,1.094957,0.403095,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687765.662462,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,1.205272,1.094957,0.503035,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687766.562513,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,0.606305,1.155077,0.400756,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687766.662613,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,0.706393,1.155077,0.500841,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687767.162403,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,1.206219,1.318357,0.431538,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687767.362531,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side|turn_left_blocked,LEFT,LEFT,RIGHT,0.004433,1.610409,0.172875,0.600000,1.200000,0.160000,-0.250000,0.120000,0.000000
1783687767.462352,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side|turn_left_blocked,LEFT,LEFT,RIGHT,0.004973,1.610409,0.272721,0.600000,1.200000,0.160000,-0.250000,0.120000,0.000000
1783687767.562434,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side|turn_left_blocked,LEFT,LEFT,RIGHT,0.105057,1.610409,0.372804,0.600000,1.200000,0.160000,-0.250000,0.120000,0.000000
1783687767.662671,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side|turn_left_blocked,LEFT,LEFT,RIGHT,0.205220,1.913990,0.004264,0.600000,1.200000,0.160000,-0.250000,0.120000,0.000000
1783687767.762812,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side|turn_left_blocked,LEFT,LEFT,RIGHT,0.305391,1.913990,0.104445,0.600000,1.200000,0.160000,-0.250000,0.120000,0.000000
1783687767.862461,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side|turn_left_blocked,LEFT,LEFT,RIGHT,0.405081,1.913990,0.204192,0.600000,1.200000,0.160000,-0.250000,0.120000,0.000000
1783687767.962458,robot_0,peer_warning_turn_away_right|peer_warning_pass_slow_side|turn_left_blocked,LEFT,LEFT,RIGHT,0.505084,1.913990,0.304197,0.600000,1.200000,0.160000,-0.250000,0.120000,0.000000
1783687768.062412,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,0.605034,1.913990,0.404177,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687768.562421,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,1.105041,1.911292,0.409172,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687769.062402,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,1.605022,2.398653,0.412150,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687787.762722,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,20.305285,0.766026,0.440541,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687792.162617,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,24.705170,0.987709,0.451268,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687792.662561,robot_0,stale_distance_stop,RIGHT,RIGHT,CLEAR,25.205150,0.924041,0.437644,0.600000,1.200000,0.160000,0.250000,0.000000,0.250000
