time_s,collisions
0.000,0
12.086,1
12.087,2
14.149,3
14.149,4
16.021,5
16.022,6
20.172,7
20.173,8
20.490,9
20.491,10
21.952,11
21.952,12
25.116,13
25.117,14
40.972,15
40.973,16
107.157,17
107.157,18
107.209,19
107.210,20
108.691,21
108.692,22
119.188,23
119.189,24
129.632,25
129.633,26
133.640,27
133.641,28
145.136,29
145.137,30
162.692,31
162.693,32
178.709,33
178.710,34
182.771,35
183.256,36
185.779,37
191.666,38
191.666,39
193.171,40
193.171,41
194.192,42
194.193,43
198.712,44
198.713,45
214.625,46
214.625,47
222.765,48
222.766,49
226.247,50
226.248,51
241.211,52
241.212,53
249.200,54
249.200,55
253.182,56
253.183,57
259.162,58
259.163,59
278.180,60
278.181,61
295.669,62
295.670,63
298.678,64
298.679,65
300.209,66
300.210,67
303.686,68
303.687,69
307.209,70
307.210,71
314.680,72
314.680,73
319.216,74
319.217,75
322.163,76
322.164,77
325.197,78
325.198,79
328.661,80
328.663,81
332.211,82
332.212,83
337.685,84
337.686,85
344.184,86
344.185,87
350.191,88
350.192,89
357.684,90
362.387,91
362.388,92
363.430,93
365.392,94
365.942,95
365.942,96
365.943,97
366.427,98
368.478,99
369.472,100
369.473,101
369.951,102
373.896,103
373.897,104
374.393,105
374.394,106
377.798,107
378.743,108
385.709,109
387.582,110
387.585,111
395.832,112
395.833,113
401.636,114
401.637,115
404.833,116
404.834,117
428.900,118
428.901,119
430.943,120
431.941,121
438.498,122
438.500,123
444.784,124
444.785,125
448.911,126
448.912,127
452.578,128
452.580,129
462.236,130
466.079,131
466.080,132
477.264,133
477.265,134
477.266,135
477.266,136
480.824,137
480.825,138
483.490,139
483.491,140
486.088,141
486.089,142
490.688,143
490.689,144
496.678,145
496.679,146
