stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic,entity_a_bump_direction,entity_b_bump_direction,pair_detection_summary
17,850000000,global,1,1,0,robot,"('robot_1', 'robot_2')",robot_1,robot_2,-0.298144,-0.844771,0.147855,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,left,back,both_detecting|both_warned
25,940000000,global,2,2,0,robot,"('robot_2', 'robot_3')",robot_2,robot_3,-1.690910,-2.123558,0.106622,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,left,left,both_detecting|both_warned
42,350000000,global,3,3,0,robot,"('robot_1', 'robot_3')",robot_1,robot_3,-0.292376,-1.871874,0.148206,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,right,left,both_detecting|both_warned
50,310000000,global,4,3,1,obstacle,"('robot_1', 'box2::link::collision')",robot_1,box2::link::collision,-0.935670,-2.805289,0.148194,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,,robot_obstacle_detecting_LEFT
51,820000000,global,5,3,2,obstacle,"('robot_1', 'box2::link::collision')",robot_1,box2::link::collision,-1.052736,-2.883488,0.272917,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,back,,robot_obstacle_not_detecting
110,180000000,global,6,4,2,robot,"('robot_0', 'robot_3')",robot_0,robot_3,1.497144,-4.010385,0.147663,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,right,back,both_detecting|both_warned
118,880000000,global,7,4,3,obstacle,"('robot_1', 'box1::link::collision')",robot_1,box1::link::collision,-2.237205,-0.299147,0.148388,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,,robot_obstacle_detecting_LEFT
120,760000000,global,8,4,4,obstacle,"('robot_1', 'box1::link::collision')",robot_1,box1::link::collision,-2.230632,-0.301193,0.022516,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,,robot_obstacle_detecting_LEFT
129,160000000,global,9,5,4,robot,"('robot_3', 'robot_4')",robot_3,robot_4,1.024575,-3.886275,0.147974,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,right,right,both_detecting|both_warned
136,240000000,global,10,6,4,robot,"('robot_3', 'robot_4')",robot_3,robot_4,0.986866,-4.290690,0.147835,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,front,front,both_detecting|both_warned
136,770000000,global,11,6,5,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,0.663274,-3.827787,0.147932,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,front,,robot_obstacle_detecting_LEFT
139,960000000,global,12,6,6,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,0.663274,-3.827787,0.147829,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,front,,robot_obstacle_detecting_RIGHT
141,390000000,global,13,7,6,robot,"('robot_1', 'robot_2')",robot_1,robot_2,-1.553639,-2.297365,0.148140,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact,right,front,both_detecting|both_warned
142,970000000,global,14,7,7,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,0.663274,-3.827787,0.147826,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact,front,,robot_obstacle_detecting_CORNER
