wall_time,source,target,decision,skip_reason,warning_zone,distance_m,confidence,raw_detection,raw_message
1783694776.221378,robot_0,robot_1,skipped,distance_above_warning_threshold,LEFT,1.242732,,global_pose,"bearing_deg=120.808,zone_reason=side_sector"
1783694776.321236,robot_0,robot_1,skipped,distance_above_warning_threshold,LEFT,1.219859,,global_pose,"bearing_deg=117.741,zone_reason=side_sector"
1783694776.421293,robot_0,robot_1,skipped,distance_above_warning_threshold,LEFT,1.197204,,global_pose,"bearing_deg=114.645,zone_reason=side_sector"
1783694776.521398,robot_0,robot_1,skipped,distance_above_warning_threshold,LEFT,1.174778,,global_pose,"bearing_deg=111.520,zone_reason=side_sector"
1783694776.621262,robot_0,robot_1,skipped,distance_above_warning_threshold,LEFT,1.152596,,global_pose,"bearing_deg=108.363,zone_reason=side_sector"
1783694776.721286,robot_0,robot_1,skipped,distance_above_warning_threshold,LEFT,1.130670,,global_pose,"bearing_deg=105.174,zone_reason=side_sector"
1783694776.821321,robot_0,robot_1,skipped,distance_above_warning_threshold,LEFT,1.109016,,global_pose,"bearing_deg=101.952,zone_reason=side_sector"
1783694776.921256,robot_0,robot_1,skipped,distance_above_warning_threshold,LEFT,1.087649,,global_pose,"bearing_deg=98.693,zone_reason=side_sector"
1783694777.021273,robot_0,robot_1,skipped,distance_above_warning_threshold,LEFT,1.066586,,global_pose,"bearing_deg=95.398,zone_reason=side_sector"
1783694777.121226,robot_0,robot_1,skipped,distance_above_warning_threshold,LEFT,1.045845,,global_pose,"bearing_deg=92.064,zone_reason=side_sector"
1783694777.221276,robot_0,robot_1,skipped,distance_above_warning_threshold,LEFT,1.025445,,global_pose,"bearing_deg=88.689,zone_reason=side_sector"
1783694777.321294,robot_0,robot_1,skipped,distance_above_warning_threshold,LEFT,1.005406,,global_pose,"bearing_deg=85.273,zone_reason=side_sector"
1783694777.421351,robot_0,robot_1,sent,,LEFT,0.985751,,global_pose,"bearing_deg=81.812,zone_reason=side_sector"
1783694777.521267,robot_0,robot_1,sent,,LEFT,0.970864,,global_pose,"bearing_deg=78.576,zone_reason=side_sector"
1783694777.621412,robot_0,robot_1,sent,,LEFT,0.962705,,global_pose,"bearing_deg=76.813,zone_reason=side_sector"
1783694777.721500,robot_0,robot_1,sent,,LEFT,0.957862,,global_pose,"bearing_deg=76.549,zone_reason=side_sector"
1783694777.821277,robot_0,robot_1,sent,,LEFT,0.952362,,global_pose,"bearing_deg=78.084,zone_reason=side_sector"
1783694777.921281,robot_0,robot_1,sent,,LEFT,0.947190,,global_pose,"bearing_deg=81.030,zone_reason=side_sector"
1783694778.021312,robot_0,robot_1,sent,,LEFT,0.942541,,global_pose,"bearing_deg=84.256,zone_reason=side_sector"
1783694778.121357,robot_0,robot_1,sent,,LEFT,0.938520,,global_pose,"bearing_deg=87.471,zone_reason=side_sector"
1783694778.221303,robot_0,robot_1,sent,,LEFT,0.935306,,global_pose,"bearing_deg=90.438,zone_reason=side_sector"
1783694778.321301,robot_0,robot_1,sent,,LEFT,0.932693,,global_pose,"bearing_deg=93.635,zone_reason=side_sector"
1783694778.421263,robot_0,robot_1,sent,,LEFT,0.930724,,global_pose,"bearing_deg=96.819,zone_reason=side_sector"
1783694778.521574,robot_0,robot_1,sent,,LEFT,0.929444,,global_pose,"bearing_deg=99.995,zone_reason=side_sector"
1783694778.621312,robot_0,robot_1,sent,,LEFT,0.928865,,global_pose,"bearing_deg=103.164,zone_reason=side_sector"
1783694778.721361,robot_0,robot_1,sent,,LEFT,0.927992,,global_pose,"bearing_deg=106.096,zone_reason=side_sector"
1783694778.821444,robot_0,robot_1,sent,,LEFT,0.928821,,global_pose,"bearing_deg=109.256,zone_reason=side_sector"
1783694778.921473,robot_0,robot_1,sent,,LEFT,0.930383,,global_pose,"bearing_deg=112.410,zone_reason=side_sector"
1783694779.021292,robot_0,robot_1,sent,,LEFT,0.932638,,global_pose,"bearing_deg=115.561,zone_reason=side_sector"
1783694779.121500,robot_0,robot_1,sent,,LEFT,0.935583,,global_pose,"bearing_deg=118.711,zone_reason=side_sector"
1783694779.221318,robot_0,robot_1,sent,,LEFT,0.937147,,global_pose,"bearing_deg=121.657,zone_reason=side_sector"
1783694779.321300,robot_0,robot_1,sent,,LEFT,0.939115,,global_pose,"bearing_deg=124.574,zone_reason=side_sector"
1783694779.421326,robot_0,robot_1,sent,,LEFT,0.943998,,global_pose,"bearing_deg=127.731,zone_reason=side_sector"
1783694779.521636,robot_0,robot_1,sent,,BACK,0.949625,,global_pose,"bearing_deg=130.887,zone_reason=rear_sector"
1783694779.621299,robot_0,robot_1,sent,,BACK,0.955863,,global_pose,"bearing_deg=134.048,zone_reason=rear_sector"
1783694779.721313,robot_0,robot_1,sent,,BACK,0.966127,,global_pose,"bearing_deg=136.646,zone_reason=rear_sector"
1783694779.821495,robot_0,robot_1,sent,,BACK,0.977454,,global_pose,"bearing_deg=137.643,zone_reason=rear_sector"
