wall_time,source,target,decision,skip_reason,warning_zone,distance_m,confidence,raw_detection,raw_message
1783694767.892145,robot_4,robot_2,skipped,distance_above_warning_threshold,RIGHT,1.237706,,global_pose,"bearing_deg=-92.508,zone_reason=side_sector"
1783694767.992170,robot_4,robot_2,skipped,distance_above_warning_threshold,RIGHT,1.213765,,global_pose,"bearing_deg=-90.861,zone_reason=side_sector"
1783694768.092137,robot_4,robot_2,skipped,distance_above_warning_threshold,RIGHT,1.189997,,global_pose,"bearing_deg=-89.240,zone_reason=side_sector"
1783694768.192218,robot_4,robot_2,skipped,distance_above_warning_threshold,RIGHT,1.166414,,global_pose,"bearing_deg=-87.648,zone_reason=side_sector"
1783694768.292150,robot_4,robot_2,skipped,distance_above_warning_threshold,RIGHT,1.142780,,global_pose,"bearing_deg=-86.248,zone_reason=side_sector"
1783694768.392191,robot_4,robot_2,skipped,distance_above_warning_threshold,RIGHT,1.119182,,global_pose,"bearing_deg=-85.234,zone_reason=side_sector"
1783694768.492165,robot_4,robot_2,skipped,distance_above_warning_threshold,RIGHT,1.095812,,global_pose,"bearing_deg=-84.276,zone_reason=side_sector"
1783694768.592163,robot_4,robot_2,skipped,distance_above_warning_threshold,RIGHT,1.072687,,global_pose,"bearing_deg=-83.375,zone_reason=side_sector"
1783694768.692152,robot_4,robot_2,skipped,distance_above_warning_threshold,RIGHT,1.050431,,global_pose,"bearing_deg=-82.156,zone_reason=side_sector"
1783694768.792138,robot_4,robot_2,skipped,distance_above_warning_threshold,RIGHT,1.028219,,global_pose,"bearing_deg=-81.006,zone_reason=side_sector"
1783694768.892133,robot_4,robot_2,skipped,distance_above_warning_threshold,RIGHT,1.005740,,global_pose,"bearing_deg=-80.280,zone_reason=side_sector"
1783694768.992293,robot_4,robot_2,sent,,RIGHT,0.983693,,global_pose,"bearing_deg=-79.624,zone_reason=side_sector"
1783694769.092209,robot_4,robot_2,sent,,RIGHT,0.966034,,global_pose,"bearing_deg=-79.126,zone_reason=side_sector"
1783694769.192240,robot_4,robot_2,sent,,RIGHT,0.961596,,global_pose,"bearing_deg=-79.098,zone_reason=side_sector"
1783694769.292211,robot_4,robot_2,sent,,RIGHT,0.957724,,global_pose,"bearing_deg=-79.559,zone_reason=side_sector"
1783694769.392203,robot_4,robot_2,sent,,RIGHT,0.953500,,global_pose,"bearing_deg=-80.208,zone_reason=side_sector"
1783694769.492273,robot_4,robot_2,sent,,RIGHT,0.949589,,global_pose,"bearing_deg=-80.871,zone_reason=side_sector"
1783694769.592349,robot_4,robot_2,sent,,RIGHT,0.946023,,global_pose,"bearing_deg=-81.549,zone_reason=side_sector"
1783694769.692291,robot_4,robot_2,sent,,RIGHT,0.943436,,global_pose,"bearing_deg=-81.969,zone_reason=side_sector"
1783694769.792203,robot_4,robot_2,sent,,RIGHT,0.940964,,global_pose,"bearing_deg=-82.931,zone_reason=side_sector"
1783694769.892222,robot_4,robot_2,sent,,RIGHT,0.938521,,global_pose,"bearing_deg=-85.575,zone_reason=side_sector"
1783694769.992224,robot_4,robot_2,sent,,RIGHT,0.936670,,global_pose,"bearing_deg=-89.513,zone_reason=side_sector"
1783694770.092201,robot_4,robot_2,sent,,RIGHT,0.935563,,global_pose,"bearing_deg=-93.592,zone_reason=side_sector"
1783694770.192440,robot_4,robot_2,sent,,RIGHT,0.935289,,global_pose,"bearing_deg=-97.675,zone_reason=side_sector"
1783694770.292372,robot_4,robot_2,sent,,RIGHT,0.935863,,global_pose,"bearing_deg=-101.757,zone_reason=side_sector"
1783694770.392245,robot_4,robot_2,sent,,RIGHT,0.937286,,global_pose,"bearing_deg=-105.834,zone_reason=side_sector"
1783694770.492301,robot_4,robot_2,sent,,RIGHT,0.939548,,global_pose,"bearing_deg=-109.901,zone_reason=side_sector"
1783694770.592288,robot_4,robot_2,sent,,RIGHT,0.942635,,global_pose,"bearing_deg=-113.955,zone_reason=side_sector"
1783694770.692381,robot_4,robot_2,sent,,RIGHT,0.946530,,global_pose,"bearing_deg=-117.992,zone_reason=side_sector"
1783694770.792302,robot_4,robot_2,sent,,RIGHT,0.951192,,global_pose,"bearing_deg=-121.574,zone_reason=side_sector"
1783694770.892277,robot_4,robot_2,sent,,RIGHT,0.956547,,global_pose,"bearing_deg=-123.634,zone_reason=side_sector"
1783694770.992216,robot_4,robot_2,sent,,RIGHT,0.962466,,global_pose,"bearing_deg=-124.390,zone_reason=side_sector"
1783694771.092192,robot_4,robot_2,sent,,RIGHT,0.968817,,global_pose,"bearing_deg=-124.994,zone_reason=side_sector"
1783694771.192238,robot_4,robot_2,sent,,RIGHT,0.972904,,global_pose,"bearing_deg=-125.365,zone_reason=side_sector"
1783694771.292210,robot_4,robot_2,sent,,RIGHT,0.978128,,global_pose,"bearing_deg=-125.796,zone_reason=side_sector"
1783694771.392241,robot_4,robot_2,sent,,RIGHT,0.985392,,global_pose,"bearing_deg=-126.354,zone_reason=side_sector"
