wall_time,source,target,decision,skip_reason,warning_zone,distance_m,confidence,raw_detection,raw_message
1783688205.172315,robot_1,robot_0,skipped,distance_above_warning_threshold,CORNER,1.218668,,global_pose,"bearing_deg=7.231,zone_reason=front_sector"
1783688205.272340,robot_1,robot_0,skipped,distance_above_warning_threshold,CORNER,1.176399,,global_pose,"bearing_deg=6.241,zone_reason=front_sector"
1783688205.372265,robot_1,robot_0,skipped,distance_above_warning_threshold,CORNER,1.134507,,global_pose,"bearing_deg=5.177,zone_reason=front_sector"
1783688205.472401,robot_1,robot_0,skipped,distance_above_warning_threshold,CORNER,1.093035,,global_pose,"bearing_deg=4.033,zone_reason=front_sector"
1783688205.572377,robot_1,robot_0,skipped,distance_above_warning_threshold,CORNER,1.052035,,global_pose,"bearing_deg=2.798,zone_reason=front_sector"
1783688205.672346,robot_1,robot_0,skipped,distance_above_warning_threshold,CORNER,1.011562,,global_pose,"bearing_deg=1.465,zone_reason=front_sector"
1783688205.772402,robot_1,robot_0,sent,,CORNER,0.971682,,global_pose,"bearing_deg=0.020,zone_reason=front_sector"
1783688205.872410,robot_1,robot_0,sent,,CORNER,0.933428,,global_pose,"bearing_deg=-1.408,zone_reason=front_sector"
1783688205.972465,robot_1,robot_0,sent,,CORNER,0.912904,,global_pose,"bearing_deg=-1.192,zone_reason=front_sector"
1783688206.072444,robot_1,robot_0,sent,,CORNER,0.914964,,global_pose,"bearing_deg=0.739,zone_reason=front_sector"
1783688206.172436,robot_1,robot_0,sent,,CORNER,0.920734,,global_pose,"bearing_deg=3.612,zone_reason=front_sector"
1783688206.272689,robot_1,robot_0,sent,,CORNER,0.926916,,global_pose,"bearing_deg=6.492,zone_reason=front_sector"
1783688206.372635,robot_1,robot_0,sent,,CORNER,0.933523,,global_pose,"bearing_deg=9.344,zone_reason=front_sector"
1783688206.472403,robot_1,robot_0,sent,,CORNER,0.940550,,global_pose,"bearing_deg=12.171,zone_reason=front_sector"
1783688206.572390,robot_1,robot_0,sent,,CORNER,0.947985,,global_pose,"bearing_deg=14.976,zone_reason=front_sector"
1783688206.672373,robot_1,robot_0,sent,,CORNER,0.955814,,global_pose,"bearing_deg=17.763,zone_reason=front_sector"
1783688206.772515,robot_1,robot_0,sent,,CORNER,0.964022,,global_pose,"bearing_deg=19.837,zone_reason=front_sector"
1783688206.872540,robot_1,robot_0,sent,,CORNER,0.972645,,global_pose,"bearing_deg=20.361,zone_reason=front_sector"
1783688206.972629,robot_1,robot_0,sent,,CORNER,0.981749,,global_pose,"bearing_deg=19.349,zone_reason=front_sector"
1783688207.072481,robot_1,robot_0,sent,,CORNER,0.991398,,global_pose,"bearing_deg=16.814,zone_reason=front_sector"
