time_s,collisions_total,collisions_robot,collisions_obstacle
0.000,0,0,0
26.628,1,1,0
26.628,2,2,0
28.573,3,3,0
28.574,4,4,0
30.567,5,5,0
30.567,6,6,0
31.792,7,7,0
31.792,8,8,0
32.087,9,9,0
32.087,10,10,0
33.283,11,11,0
33.283,12,12,0
34.171,13,13,0
34.171,14,14,0
35.178,15,15,0
35.178,16,16,0
35.710,17,17,0
35.711,18,18,0
36.815,19,19,0
36.816,20,20,0
37.566,21,21,0
38.589,22,22,0
41.060,23,23,0
41.060,24,24,0
41.717,25,25,0
41.718,26,26,0
43.603,27,27,0
43.603,28,28,0
44.059,29,29,0
44.059,30,30,0
45.086,31,31,0
45.086,32,32,0
54.607,33,33,0
54.607,34,34,0
57.096,35,35,0
57.096,36,36,0
61.217,37,37,0
61.217,38,38,0
62.157,39,39,0
62.157,40,40,0
63.341,41,41,0
63.341,42,42,0
66.747,43,43,0
66.748,44,44,0
77.140,45,45,0
77.140,46,46,0
78.701,47,47,0
78.702,48,48,0
80.334,49,49,0
80.335,50,50,0
83.065,51,51,0
83.065,52,52,0
91.162,53,52,1
92.138,54,52,2
121.284,55,52,3
122.184,56,52,4
134.211,57,52,5
148.185,58,52,6
156.139,59,53,6
156.139,60,54,6
159.627,61,55,6
159.628,62,56,6
185.310,63,57,6
185.310,64,58,6
186.152,65,59,6
186.152,66,60,6
195.188,67,60,7
203.844,68,60,8
208.639,69,60,9
211.175,70,60,10
212.197,71,60,11
217.182,72,60,12
217.721,73,60,13
220.202,74,60,14
251.145,75,60,15
254.702,76,60,16
257.152,77,60,17
257.703,78,60,18
317.783,79,60,19
320.210,80,60,20
321.184,81,60,21
323.741,82,60,22
324.258,83,60,23
324.271,84,60,24
327.748,85,60,25
329.704,86,60,26
343.225,87,60,27
345.332,88,60,28
362.154,89,61,28
362.154,90,62,28
396.721,91,63,28
396.721,92,64,28
399.200,93,65,28
399.201,94,66,28
400.717,95,67,28
402.214,96,68,28
402.214,97,69,28
403.672,98,70,28
403.672,99,71,28
411.173,100,72,28
411.173,101,73,28
411.686,102,73,29
413.180,103,74,29
413.180,104,75,29
413.791,105,76,29
413.792,106,77,29
415.162,107,78,29
415.162,108,79,29
416.738,109,80,29
416.738,110,81,29
418.675,111,81,30
422.316,112,81,31
424.671,113,82,31
424.672,114,83,31
425.648,115,84,31
425.648,116,85,31
426.197,117,85,32
426.650,118,86,32
426.650,119,87,32
426.840,120,88,32
426.840,121,89,32
427.660,122,90,32
427.661,123,91,32
428.284,124,91,33
429.679,125,91,34
429.685,126,91,35
430.673,127,91,36
430.791,128,91,37
431.178,129,91,38
431.699,130,92,38
431.699,131,93,38
437.672,132,94,38
437.672,133,95,38
440.176,134,95,39
441.698,135,95,40
442.835,136,95,41
446.322,137,95,42
448.740,138,95,43
452.656,139,95,44
455.702,140,96,44
455.702,141,97,44
457.186,142,98,44
457.187,143,99,44
458.251,144,100,44
458.251,145,101,44
461.220,146,102,44
461.220,147,103,44
463.193,148,104,44
463.193,149,105,44
473.776,150,106,44
473.776,151,107,44
484.328,152,108,44
484.329,153,109,44
486.716,154,110,44
486.716,155,111,44
488.242,156,112,44
488.243,157,113,44
